MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,44,7.472232|7.000000|1.000000,0.026885032653808594,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,60253716480.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,45,7.472232|7.000000|1.000000,0.02662181854248047,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,93749420032.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,46,7.472232|7.000000|1.000000,0.02704310417175293,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,106597867520.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,47,7.472232|7.000000|1.000000,0.027109384536743164,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,68709253120.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,48,7.472232|7.000000|1.000000,0.02660512924194336,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,89509322752.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,49,7.472232|7.000000|1.000000,0.02673506736755371,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,102742982656.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,50,7.472232|7.000000|1.000000,0.026857614517211914,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,87921516544.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,51,7.472232|7.000000|1.000000,0.026701688766479492,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,72537276416.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,52,7.472232|7.000000|1.000000,0.02611994743347168,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,70336626688.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,53,7.472232|7.000000|1.000000,0.026842594146728516,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,101299388416.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,54,7.472232|7.000000|1.000000,0.026186704635620117,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,32314742784.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,55,7.472232|7.000000|1.000000,0.02558279037475586,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,49672015872.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,56,7.472232|7.000000|1.000000,0.027257680892944336,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,25683499008.000000,N/A,2,5
