MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,41,9.489357|3.000000|0.000000,9.592413902282715,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,42,9.489357|3.000000|0.000000,9.589473009109497,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,43,9.489357|3.000000|0.000000,9.552111864089966,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,44,9.489357|3.000000|0.000000,9.611603021621704,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,45,9.489357|3.000000|0.000000,9.496690273284912,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,46,9.489357|3.000000|0.000000,9.290857076644897,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,47,9.489357|3.000000|0.000000,9.654013872146606,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,48,9.489357|3.000000|0.000000,9.312294006347656,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,49,9.489357|3.000000|0.000000,9.430693864822388,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,50,9.489357|3.000000|0.000000,9.455610990524292,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,51,9.489357|3.000000|0.000000,9.273730993270874,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,52,9.489357|3.000000|0.000000,9.53908395767212,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,53,9.489357|3.000000|0.000000,9.309026718139648,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,54,9.489357|3.000000|0.000000,9.438597202301025,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,55,9.489357|3.000000|0.000000,9.371623039245605,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
