MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,51,4.541265|3.000000,0.01860499382019043,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,120869593088.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,52,4.541265|3.000000,0.019265174865722656,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,70533505024.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,53,4.541265|3.000000,0.02007579803466797,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,96193339392.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,54,4.541265|3.000000,0.019305944442749023,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,91951906816.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,55,4.541265|3.000000,0.018933534622192383,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,83168772096.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,56,4.541265|3.000000,0.019707202911376953,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,144164372480.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,57,4.541265|3.000000,0.019824981689453125,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,111749021696.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,58,4.541265|3.000000,0.019232988357543945,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,37014073344.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,59,4.541265|3.000000,0.01935100555419922,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,95385346048.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,60,4.541265|3.000000,0.018987417221069336,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,79683584000.000000,N/A,1,5
