MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,35,4.633978|3.000000,0.019234895706176758,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,96703053824.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,36,4.633978|3.000000,0.020615100860595703,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,87440105472.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,37,4.633978|3.000000,0.019535303115844727,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,105377136640.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,38,4.633978|3.000000,0.019260883331298828,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,89895247872.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,39,4.633978|3.000000,0.019785165786743164,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,158583242752.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,40,4.633978|3.000000,0.019130468368530273,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,116376248320.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,41,4.633978|3.000000,0.01842951774597168,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99498647552.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,42,4.633978|3.000000,0.01975226402282715,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,70903668736.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,43,4.633978|3.000000,0.019528865814208984,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,68755832832.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,44,4.633978|3.000000,0.01961803436279297,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,152948555776.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,45,4.633978|3.000000,0.0189206600189209,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,73359499264.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,46,4.633978|3.000000,0.018868684768676758,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,82584027136.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,47,4.633978|3.000000,0.019158363342285156,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,114915385344.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,48,4.633978|3.000000,0.020307064056396484,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,104209481728.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,49,4.633978|3.000000,0.019149303436279297,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,59193278464.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,50,4.633978|3.000000,0.01993870735168457,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,83071991808.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,51,4.633978|3.000000,0.01862955093383789,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,83021127680.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,52,4.633978|3.000000,0.019518136978149414,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,65952342016.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,53,4.633978|3.000000,0.020045757293701172,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,121498681344.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,54,4.633978|3.000000,0.019268274307250977,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,61976424448.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,55,4.633978|3.000000,0.019039154052734375,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,97153531904.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,56,4.633978|3.000000,0.01956653594970703,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,132621983744.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,57,4.633978|3.000000,0.019752025604248047,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,106559053824.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,58,4.633978|3.000000,0.018879413604736328,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,73090523136.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,59,4.633978|3.000000,0.019364118576049805,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,24212645888.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,60,4.633978|3.000000,0.0190274715423584,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,43206692864.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,61,4.633978|3.000000,0.018923282623291016,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99228540928.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,62,4.633978|3.000000,0.019411802291870117,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,1805581312.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,63,4.633978|3.000000,0.019358396530151367,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,96514621440.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,64,4.633978|3.000000,0.0196835994720459,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,115997196288.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,65,4.633978|3.000000,0.019039154052734375,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,66,4.633978|3.000000,0.01913928985595703,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,102236766208.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,67,4.633978|3.000000,0.020773887634277344,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,63428198400.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,68,4.633978|3.000000,0.0188901424407959,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,75033935872.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,69,4.633978|3.000000,0.018912553787231445,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,108235399168.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,70,4.633978|3.000000,0.019542455673217773,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,123040956416.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,71,4.633978|3.000000,0.01923227310180664,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99584000000.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,72,4.633978|3.000000,0.019906044006347656,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,121581633536.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,73,4.633978|3.000000,0.01973581314086914,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,87096492032.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,74,4.633978|3.000000,0.020121335983276367,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,80599842816.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,75,4.633978|3.000000,0.01993107795715332,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,75253006336.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,76,4.633978|3.000000,0.020070552825927734,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,119131398144.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,77,4.633978|3.000000,0.01962566375732422,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,85028986880.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,78,4.633978|3.000000,0.019431591033935547,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,85461016576.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,79,4.633978|3.000000,0.019334077835083008,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,86276415488.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,80,4.633978|3.000000,0.019046306610107422,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,49937145856.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,81,4.633978|3.000000,0.02018260955810547,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,110036049920.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,82,4.633978|3.000000,0.01874685287475586,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,83,4.633978|3.000000,0.01927804946899414,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,66233004032.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,84,4.633978|3.000000,0.01941514015197754,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,94150172672.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,85,4.633978|3.000000,0.02042675018310547,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,105360171008.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,86,4.633978|3.000000,0.019968509674072266,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,96568033280.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,87,4.633978|3.000000,0.019261837005615234,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,111339159552.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,88,4.633978|3.000000,0.018923044204711914,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,81138606080.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,89,4.633978|3.000000,0.01888585090637207,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,59343785984.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,90,4.633978|3.000000,0.0191650390625,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,86190284800.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,91,4.633978|3.000000,0.019732236862182617,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99497533440.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,92,4.633978|3.000000,0.019848108291625977,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,121778397184.000000,N/A,1,5
