MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,49,4.610571|3.000000,5.210503816604614,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,50,4.610571|3.000000,5.180751085281372,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,51,4.610571|3.000000,5.265963792800903,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,52,4.610571|3.000000,5.023676156997681,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,53,4.610571|3.000000,5.030587911605835,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,54,4.610571|3.000000,5.328152894973755,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,55,4.610571|3.000000,5.36926794052124,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,56,4.610571|3.000000,5.251343250274658,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,57,4.610571|3.000000,5.087960958480835,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,58,4.610571|3.000000,5.115710020065308,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,59,4.610571|3.000000,5.213062286376953,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,60,4.610571|3.000000,5.1547157764434814,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,61,4.610571|3.000000,5.214703798294067,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,62,4.610571|3.000000,5.145337104797363,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,63,4.610571|3.000000,5.178750991821289,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,64,4.610571|3.000000,5.090224742889404,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,65,4.610571|3.000000,5.318985223770142,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,66,4.610571|3.000000,5.204621076583862,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,67,4.610571|3.000000,5.112426996231079,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
