MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,57,6.744547|7.000000|2.000000,0.026029586791992188,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,59724238848.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,58,6.744547|7.000000|2.000000,0.026983976364135742,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,69673820160.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,59,6.744547|7.000000|2.000000,0.027622461318969727,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,78709039104.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,60,6.744547|7.000000|2.000000,0.02624058723449707,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,55995052032.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,61,6.744547|7.000000|2.000000,0.026618480682373047,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,33011890176.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,62,6.744547|7.000000|2.000000,0.026547908782958984,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,86946127872.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,63,6.744547|7.000000|2.000000,0.0267331600189209,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,83606487040.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,64,6.744547|7.000000|2.000000,0.026658058166503906,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,110151581696.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,65,6.744547|7.000000|2.000000,0.02577805519104004,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,66762002432.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,66,6.744547|7.000000|2.000000,0.06417012214660645,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,54732554240.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,67,6.744547|7.000000|2.000000,0.026131868362426758,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,71151173632.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,68,6.744547|7.000000|2.000000,0.026718854904174805,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,85849481216.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,69,6.744547|7.000000|2.000000,0.0264129638671875,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,44528685056.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,70,6.744547|7.000000|2.000000,0.02666783332824707,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,67003990016.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,71,6.744547|7.000000|2.000000,0.027068376541137695,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,43493019648.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,72,6.744547|7.000000|2.000000,0.02528834342956543,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,2442548224.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,73,6.744547|7.000000|2.000000,0.026158809661865234,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,41121648640.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,74,6.744547|7.000000|2.000000,0.027750253677368164,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,62779645952.000000,N/A,2,5
