MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,26,8.113361|3.000000,4.783131122589111,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,27,8.113361|3.000000,4.677742958068848,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,28,8.113361|3.000000,4.880623817443848,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,29,8.113361|3.000000,4.78996205329895,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,30,8.113361|3.000000,4.848745822906494,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,31,8.113361|3.000000,4.840869188308716,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,32,8.113361|3.000000,4.777451038360596,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,33,8.113361|3.000000,4.8152079582214355,3.0,7.558832|3.000000,7.558832|3.000000,3,0.053460,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,34,8.113361|3.000000,4.848592758178711,3.0,7.558832|3.000000,7.558832|3.000000,3,0.057052,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,35,8.113361|3.000000,4.804474830627441,3.0,7.558832|3.000000,7.558832|3.000000,3,0.057052,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,36,8.113361|3.000000,4.861243963241577,3.0,7.558832|3.000000,7.558832|3.000000,3,0.057052,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,37,8.113361|3.000000,4.818189859390259,3.0,7.558832|3.000000,7.558832|3.000000,3,0.057052,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,38,8.113361|3.000000,4.759570121765137,3.0,7.558832|3.000000,7.558832|3.000000,3,0.057052,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,39,8.113361|3.000000,4.883409023284912,3.0,7.558832|3.000000,7.558832|3.000000,3,0.063581,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,40,8.113361|3.000000,4.626278877258301,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,41,8.113361|3.000000,4.693898916244507,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,42,8.113361|3.000000,4.675600051879883,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,43,8.113361|3.000000,4.687549829483032,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,44,8.113361|3.000000,4.609569072723389,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,45,8.113361|3.000000,4.994940996170044,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,46,8.113361|3.000000,4.984374046325684,3.0,7.558832|3.000000,7.558832|3.000000,3,0.066583,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,47,8.113361|3.000000,4.955817222595215,3.0,7.558832|3.000000,6.683742|5.000000,5,0.102299,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,48,8.113361|3.000000,4.774189710617065,3.0,7.558832|3.000000,6.683742|5.000000,5,0.120236,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,49,8.113361|3.000000,4.805898904800415,3.0,7.558832|3.000000,6.683742|5.000000,5,0.146863,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,50,8.113361|3.000000,4.632097005844116,3.0,7.558832|3.000000,6.683742|5.000000,5,0.159691,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,51,8.113361|3.000000,4.832566022872925,3.0,7.558832|3.000000,6.683742|5.000000,5,0.182495,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,52,8.113361|3.000000,5.079681158065796,3.0,7.558832|3.000000,6.683742|5.000000,5,0.192810,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,53,8.113361|3.000000,4.958582162857056,3.0,7.558832|3.000000,6.683742|5.000000,5,0.202549,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,54,8.113361|3.000000,4.699649095535278,3.0,7.558832|3.000000,6.683742|5.000000,5,0.229030,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,55,8.113361|3.000000,4.608119010925293,3.0,7.558832|3.000000,6.683742|5.000000,5,0.252388,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,56,8.113361|3.000000,4.527259826660156,3.0,7.558832|3.000000,6.683742|5.000000,5,0.280010,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,57,8.113361|3.000000,4.577109098434448,3.0,7.558832|3.000000,6.683742|5.000000,5,0.342287,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,58,8.113361|3.000000,4.289610147476196,3.0,7.558832|3.000000,6.683742|5.000000,5,0.414949,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,59,8.113361|3.000000,4.436115980148315,3.0,7.558832|3.000000,6.401815|5.000000,5,0.174634,N/A,5
