MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,50,8.352995|3.000000|1.000000,0.02669978141784668,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,61705936896.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,51,8.352995|3.000000|1.000000,0.026888370513916016,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,96405856256.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,52,8.352995|3.000000|1.000000,0.026202678680419922,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,107644059648.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,53,8.352995|3.000000|1.000000,0.026997804641723633,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,78864596992.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,54,8.352995|3.000000|1.000000,0.026377201080322266,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,62510641152.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,55,8.352995|3.000000|1.000000,0.025789260864257812,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,59422375936.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,56,8.352995|3.000000|1.000000,0.027056217193603516,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,115643777024.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,57,8.352995|3.000000|1.000000,0.02631831169128418,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,76889260032.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,58,8.352995|3.000000|1.000000,0.027029752731323242,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,90762829824.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,59,8.352995|3.000000|1.000000,0.027571439743041992,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,101020188672.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,60,8.034351|7.000000|1.000000,0.02620244026184082,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,83181281280.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,61,8.034351|7.000000|1.000000,0.026717424392700195,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,89409519616.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,62,8.034351|7.000000|1.000000,0.026673316955566406,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,68836384768.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,63,8.034351|7.000000|1.000000,0.026884794235229492,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,80817823744.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,64,8.034351|7.000000|1.000000,0.026656627655029297,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,49441964032.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,65,8.034351|7.000000|1.000000,0.02563333511352539,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,59639812096.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,66,8.034351|7.000000|1.000000,0.026323795318603516,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,67492548608.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,67,8.034351|7.000000|1.000000,0.026491165161132812,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,93680001024.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,68,8.034351|7.000000|1.000000,0.026546001434326172,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,54714695680.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,69,8.034351|7.000000|1.000000,0.026139259338378906,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,70,8.034351|7.000000|1.000000,0.026802539825439453,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,79144296448.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,71,8.034351|7.000000|1.000000,0.027480125427246094,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,56956444672.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,72,8.034351|7.000000|1.000000,0.025536060333251953,7.0,8.805813|7.000000|1.000000,8.034351|7.000000|1.000000,8.805813|7.000000|1.000000,7,102417702912.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,73,7.201349|7.000000|2.000000,0.02622246742248535,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,99437682688.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,74,7.201349|7.000000|2.000000,0.027779579162597656,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,80974028800.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,75,7.201349|7.000000|2.000000,0.026290416717529297,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,92959989760.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,76,7.201349|7.000000|2.000000,0.025598764419555664,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,77353508864.000000,N/A,2,5
