MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,27,4.585071|3.000000,0.01827239990234375,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49937330176.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,28,4.585071|3.000000,0.018892765045166016,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,72041758720.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,29,4.585071|3.000000,0.01923394203186035,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,991827264.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,30,4.585071|3.000000,0.0190889835357666,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,105176850432.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,31,4.585071|3.000000,0.01866292953491211,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49937321984.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,32,4.585071|3.000000,0.019329547882080078,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,109223239680.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,33,4.585071|3.000000,0.019838571548461914,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,87081525248.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,34,4.585071|3.000000,0.01929450035095215,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,132408410112.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,35,4.585071|3.000000,0.019434690475463867,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49944576000.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,36,4.585071|3.000000,0.01979660987854004,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,118893379584.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,37,4.585071|3.000000,0.02004098892211914,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,120634048512.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,38,4.585071|3.000000,0.01910257339477539,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,108800589824.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,39,4.585071|3.000000,0.01815056800842285,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,94218723328.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,40,4.585071|3.000000,0.0196988582611084,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,141148667904.000000,N/A,1,5
