MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,44,4.633979|3.000000,5.259711027145386,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,45,4.633979|3.000000,5.125626087188721,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,46,4.633979|3.000000,5.53611421585083,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,47,4.633979|3.000000,5.216531753540039,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,48,4.633979|3.000000,5.3401038646698,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,49,4.633979|3.000000,5.229063272476196,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,50,4.633979|3.000000,5.4895830154418945,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,51,4.633979|3.000000,5.410243988037109,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,52,4.633979|3.000000,5.348174095153809,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,53,4.633979|3.000000,5.215972900390625,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,54,4.633979|3.000000,5.127198934555054,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,55,4.633979|3.000000,5.372804880142212,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,56,4.633979|3.000000,5.170061826705933,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,57,4.633979|3.000000,5.153329133987427,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,58,4.633979|3.000000,5.283528804779053,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,59,4.633979|3.000000,5.308894157409668,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,60,4.633979|3.000000,5.400259971618652,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,61,4.633979|3.000000,5.187112808227539,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,62,4.633979|3.000000,5.121891975402832,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,63,4.633979|3.000000,5.2549309730529785,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,64,4.633979|3.000000,5.399828910827637,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,65,4.633979|3.000000,5.311662912368774,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,66,4.633979|3.000000,5.133758783340454,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,67,4.633979|3.000000,5.09929895401001,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,68,4.633979|3.000000,5.289308786392212,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
