MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,57,4.598747|3.000000,0.02036762237548828,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,112779649024.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,58,4.598747|3.000000,0.019058704376220703,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,91766497280.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,59,4.598747|3.000000,0.0190584659576416,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99276742656.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,60,4.598747|3.000000,0.019095897674560547,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,70653698048.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,61,4.598747|3.000000,0.018944501876831055,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,88690548736.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,62,4.598747|3.000000,0.01943039894104004,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,43457867776.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,63,4.598747|3.000000,0.019530057907104492,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,87140450304.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,64,4.598747|3.000000,0.019240856170654297,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,50485346304.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,65,4.598747|3.000000,0.01935124397277832,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,111101222912.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,66,4.598747|3.000000,0.019034624099731445,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,105109757952.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,67,4.598747|3.000000,0.020409345626831055,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,97723015168.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,68,4.598747|3.000000,0.018971681594848633,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,54771052544.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,69,4.598747|3.000000,0.01920771598815918,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,97918885888.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,70,4.598747|3.000000,0.01917266845703125,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,91778187264.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,71,4.598747|3.000000,0.01922440528869629,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,145379295232.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,72,4.598747|3.000000,0.019938230514526367,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,118786711552.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,73,4.598747|3.000000,0.019781112670898438,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,92940664832.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,74,4.598747|3.000000,0.020017147064208984,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,106256949248.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,75,4.598747|3.000000,0.020426034927368164,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,73918242816.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,76,4.598747|3.000000,0.019483327865600586,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,111102427136.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,77,4.598747|3.000000,0.020295381546020508,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,82418024448.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,78,4.598747|3.000000,0.018836021423339844,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,70533251072.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,79,4.598747|3.000000,0.019554615020751953,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,55274385408.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,80,4.598747|3.000000,0.018878698348999023,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,102397222912.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,81,4.598747|3.000000,0.020722389221191406,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,131792396288.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,82,4.598747|3.000000,0.01886606216430664,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,83,4.598747|3.000000,0.01943206787109375,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,96810090496.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,84,4.598747|3.000000,0.01950526237487793,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,88970674176.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,85,4.598747|3.000000,0.020398855209350586,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,142493073408.000000,N/A,1,5
