MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,49,4.484513|3.000000,5.381205081939697,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,50,4.484513|3.000000,5.313039779663086,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,51,4.484513|3.000000,5.181995153427124,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000109,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,52,4.484513|3.000000,5.093955039978027,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,53,4.484513|3.000000,5.16473388671875,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,54,4.484513|3.000000,5.374398946762085,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,55,4.484513|3.000000,5.309088945388794,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,56,4.484513|3.000000,5.41339898109436,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,57,4.484513|3.000000,5.439821004867554,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,58,4.484513|3.000000,5.137727975845337,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,59,4.484513|3.000000,5.308876037597656,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,60,4.484513|3.000000,5.333899974822998,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,61,4.484513|3.000000,5.309954881668091,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,62,4.484513|3.000000,5.562173843383789,3.0,4.688949|3.000000,5.000606|5.000000,5,0.000154,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,63,4.484513|3.000000,5.336154937744141,3.0,4.688949|3.000000,4.633515|7.000000,7,0.003648,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,64,4.484513|3.000000,5.236484050750732,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,65,4.484513|3.000000,5.393495082855225,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,66,4.484513|3.000000,5.368634223937988,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,67,4.484513|3.000000,5.41860294342041,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,68,4.484513|3.000000,5.287045240402222,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,69,4.484513|3.000000,5.4879469871521,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,70,4.484513|3.000000,5.8679938316345215,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,71,4.484513|3.000000,5.369975805282593,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,72,4.484513|3.000000,5.348675012588501,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,73,4.484513|3.000000,5.518623113632202,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,74,4.484513|3.000000,5.054972887039185,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,75,4.484513|3.000000,5.357474088668823,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,76,4.484513|3.000000,5.273575782775879,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,77,4.484513|3.000000,5.5943450927734375,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,78,4.484513|3.000000,5.482275009155273,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,79,4.484513|3.000000,5.258965015411377,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,80,4.484513|3.000000,5.227067232131958,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,81,4.484513|3.000000,5.2780749797821045,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,82,4.484513|3.000000,5.166720867156982,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,83,4.484513|3.000000,5.511707782745361,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,84,4.484513|3.000000,5.28357195854187,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,85,4.484513|3.000000,5.162651777267456,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
