MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,30,2152.517090|7.000000|1.000000,0.13364791870117188,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,76742492160.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,31,2152.517090|7.000000|1.000000,0.07300686836242676,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,50530160640.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,32,2152.517090|7.000000|1.000000,0.07235145568847656,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,19054696448.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,33,2152.517090|7.000000|1.000000,0.08129024505615234,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,68253863936.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,34,2152.517090|7.000000|1.000000,0.1024622917175293,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,12369271808.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,35,2152.517090|7.000000|1.000000,0.12706327438354492,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,60615651328.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,36,2152.517090|7.000000|1.000000,0.11665987968444824,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,84450222080.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,37,2152.517090|7.000000|1.000000,0.06516838073730469,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,66999693312.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,38,2152.517090|7.000000|1.000000,0.07251858711242676,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,73845350400.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,39,2152.517090|7.000000|1.000000,0.1244051456451416,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,72954576896.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,40,2152.517090|7.000000|1.000000,0.12764239311218262,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,60171579392.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,41,2152.517090|7.000000|1.000000,0.0668489933013916,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,51148636160.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,42,2152.517090|7.000000|1.000000,0.08026838302612305,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,3431674880.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,43,2152.517090|7.000000|1.000000,0.13101720809936523,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,51032981504.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,44,2152.517090|7.000000|1.000000,0.11906123161315918,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,63541657600.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,45,2152.517090|7.000000|1.000000,0.12689566612243652,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,58894168064.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,46,2152.517090|7.000000|1.000000,0.1276242733001709,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,66207551488.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,47,2152.517090|7.000000|1.000000,0.0734412670135498,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,67652763648.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,48,2152.517090|7.000000|1.000000,0.12723326683044434,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,50384752640.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,49,2152.517090|7.000000|1.000000,0.1295778751373291,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,75641430016.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,50,2152.517090|7.000000|1.000000,0.12966489791870117,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,45223956480.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,51,2152.517090|7.000000|1.000000,0.10994887351989746,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,55183097856.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,52,2152.517090|7.000000|1.000000,0.11068558692932129,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,50843971584.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,53,2152.517090|7.000000|1.000000,0.132002592086792,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,31473022976.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,54,2152.517090|7.000000|1.000000,0.131058931350708,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,36233093120.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,55,2152.517090|7.000000|1.000000,0.12779498100280762,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,86585204736.000000,N/A,5
