MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,39,4.507786|3.000000|1.000000,0.02623772621154785,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,86277038080.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,40,4.507786|3.000000|1.000000,0.027297258377075195,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,82679644160.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,41,4.507786|3.000000|1.000000,0.0267789363861084,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,85211504640.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,42,4.507786|3.000000|1.000000,0.026393651962280273,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,87857733632.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,43,4.507786|3.000000|1.000000,0.027208566665649414,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,44,4.507786|3.000000|1.000000,0.02588057518005371,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,54978.855469,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,45,4.507786|3.000000|1.000000,0.02644801139831543,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,74795663360.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,46,4.507786|3.000000|1.000000,0.0274960994720459,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,112082509824.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,47,4.507786|3.000000|1.000000,0.026746511459350586,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,77870473216.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,48,4.507786|3.000000|1.000000,0.02754950523376465,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,93021691904.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,49,4.507786|3.000000|1.000000,0.026831865310668945,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,50,4.507786|3.000000|1.000000,0.026605606079101562,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,96299188224.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,51,4.507786|3.000000|1.000000,0.027152299880981445,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,46022672384.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,52,4.507786|3.000000|1.000000,0.0277249813079834,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,88881750016.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,53,4.507786|3.000000|1.000000,0.06530451774597168,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,56699559936.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,54,4.507786|3.000000|1.000000,0.027267932891845703,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,88859770880.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,55,4.507786|3.000000|1.000000,0.026164531707763672,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,50025689088.000000,N/A,2,5
