MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,42,9.378613|3.000000|0.000000,6.7852747440338135,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,43,9.378613|3.000000|0.000000,6.572748899459839,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,44,9.378613|3.000000|0.000000,7.100841999053955,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,45,9.378613|3.000000|0.000000,6.683107137680054,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,46,9.378613|3.000000|0.000000,6.852416038513184,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,47,9.378613|3.000000|0.000000,6.976870059967041,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,48,9.378613|3.000000|0.000000,7.044623851776123,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,49,9.378613|3.000000|0.000000,6.750407934188843,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,50,9.378613|3.000000|0.000000,6.969860076904297,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,51,9.378613|3.000000|0.000000,6.878283977508545,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
