MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,66,2234.413574|3.000000,0.019907712936401367,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,7827675136.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,67,2234.413574|3.000000,0.021033048629760742,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,57102655488.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,68,2234.413574|3.000000,0.01979207992553711,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,49784045568.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,69,2234.413574|3.000000,0.027652978897094727,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,83551576064.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,70,2234.413574|3.000000,0.022601842880249023,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,52433559552.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,71,2234.413574|3.000000,0.020167112350463867,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,52307292160.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,72,2234.413574|3.000000,0.019815921783447266,3.0,2349.744385|3.000000,2211.887695|7.000000,2362.739258|7.000000,7,14963.721680,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,73,2234.413574|3.000000,0.022681713104248047,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,76754796544.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,74,2234.413574|3.000000,0.021982908248901367,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,71560224768.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,75,2234.413574|3.000000,0.01852107048034668,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,57160667136.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,76,2234.413574|3.000000,0.02884507179260254,3.0,2349.744385|3.000000,2234.413574|3.000000,2349.744385|3.000000,3,47251910656.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,77,2234.413574|3.000000,0.023921966552734375,3.0,2349.744385|3.000000,2162.374756|7.000000,2439.260742|7.000000,7,66759630848.000000,N/A,5
