MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,81,4.751816|3.000000,5.492749929428101,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,82,4.751816|3.000000,5.53482985496521,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,83,4.751816|3.000000,5.168011903762817,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,84,4.751816|3.000000,5.389240026473999,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,85,4.751816|3.000000,5.711807012557983,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,86,4.751816|3.000000,5.455224990844727,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,87,4.751816|3.000000,5.403759956359863,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,88,4.751816|3.000000,5.596697092056274,3.0,4.030739|3.000000,4.415791|5.000000,5,0.000889,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,89,4.751816|3.000000,5.593120098114014,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,90,4.751816|3.000000,5.73918890953064,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,91,4.751816|3.000000,5.580481052398682,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,92,4.751816|3.000000,5.320429086685181,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,93,4.751816|3.000000,5.359832048416138,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,94,4.751816|3.000000,5.348330020904541,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,95,4.751816|3.000000,5.608938932418823,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,96,4.751816|3.000000,5.7366719245910645,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,97,4.751816|3.000000,5.386821985244751,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,98,4.751816|3.000000,5.336333751678467,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,99,4.751816|3.000000,5.5476648807525635,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,100,4.751816|3.000000,5.509698152542114,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,101,4.751816|3.000000,5.465269088745117,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,102,4.751816|3.000000,5.569910049438477,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,103,4.751816|3.000000,5.497066974639893,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,104,4.751816|3.000000,5.479669094085693,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,105,4.751816|3.000000,5.582590103149414,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,106,4.751816|3.000000,5.423748254776001,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,107,4.751816|3.000000,5.53595757484436,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,108,4.751816|3.000000,5.535000801086426,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,109,4.751816|3.000000,5.465490102767944,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,110,4.751816|3.000000,5.7020838260650635,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,111,4.751816|3.000000,5.570150852203369,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
MOGP_NSGAII,e7e53b30-e832-11f0-a37d-6e001b3eef54,Cooling,74,112,4.751816|3.000000,5.466552734375,3.0,4.030739|3.000000,3.985212|5.000000,5,0.008384,N/A,5
