MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,80,4.554414|3.000000,0.019069910049438477,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,60305641472.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,81,4.554414|3.000000,0.020012617111206055,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,115737698304.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,82,4.554414|3.000000,0.01871037483215332,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,82696232960.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,83,4.554414|3.000000,0.019196748733520508,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,66093027328.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,84,4.554414|3.000000,0.019384145736694336,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,99498721280.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,85,4.554414|3.000000,0.020967960357666016,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,127992938496.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,86,4.554414|3.000000,0.019759178161621094,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,97129046016.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,87,4.554414|3.000000,0.019087791442871094,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,70533439488.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,88,4.554414|3.000000,0.018629789352416992,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,115232210944.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,89,4.554414|3.000000,0.018784761428833008,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,120519368704.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,90,4.554414|3.000000,0.018884897232055664,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,53511147520.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,91,4.554414|3.000000,0.0200803279876709,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,80576020480.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,92,4.554414|3.000000,0.019989967346191406,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,120625848320.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,93,4.554414|3.000000,0.018836021423339844,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,51508076544.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,94,4.554414|3.000000,0.018885135650634766,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,117081825280.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,95,4.554414|3.000000,0.019863128662109375,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,86298583040.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,96,4.554414|3.000000,0.019214153289794922,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,77144064000.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,97,4.554414|3.000000,0.018855571746826172,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,43421261824.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,98,4.554414|3.000000,0.01943206787109375,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,3540007424.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,99,4.554414|3.000000,0.019247055053710938,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,78781890560.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,100,4.554414|3.000000,0.019768476486206055,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,116624564224.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,101,4.554414|3.000000,0.01864337921142578,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,38468.660156,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,102,4.554414|3.000000,0.019572734832763672,3.0,4.529619|3.000000,4.554414|3.000000,4.529619|3.000000,3,138916954112.000000,N/A,1,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,103,4.451859|5.000000,0.019622325897216797,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,120531640320.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,104,4.451859|5.000000,0.019767284393310547,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,134687571968.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,105,4.451859|5.000000,0.01916670799255371,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,129278697472.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,106,4.451859|5.000000,0.019809961318969727,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,55708246016.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,107,4.451859|5.000000,0.018747806549072266,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,66059366400.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,108,4.451859|5.000000,0.019009828567504883,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,46118162432.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,109,4.451859|5.000000,0.01991868019104004,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,103155908608.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,110,4.451859|5.000000,0.020225048065185547,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,146279841792.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,111,4.451859|5.000000,0.019577503204345703,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,95819923456.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,112,4.451859|5.000000,0.019440650939941406,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,98312970240.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,113,4.451859|5.000000,0.018303394317626953,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,73121202176.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,114,4.451859|5.000000,0.01891469955444336,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,70537207808.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,115,4.451859|5.000000,0.019033432006835938,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,62497312768.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,116,4.451859|5.000000,0.019203901290893555,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,93139812352.000000,N/A,2,5
MOGP_GENERATIONAL,c36dcc94-151f-11f1-9378-303ea725c124,Cooling,74,117,4.451859|5.000000,0.01907205581665039,5.0,4.439190|5.000000,4.451859|5.000000,4.439190|5.000000,5,120890605568.000000,N/A,2,5
