MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,40,4.577525|3.000000|1.000000,0.0266873836517334,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,134925475840.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,41,4.577525|3.000000|1.000000,0.02654266357421875,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,146228494336.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,42,4.577525|3.000000|1.000000,0.026469945907592773,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,87508819968.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,43,4.577525|3.000000|1.000000,0.026827335357666016,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,103809818624.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,44,4.577525|3.000000|1.000000,0.025908470153808594,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,58530103296.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,45,4.577525|3.000000|1.000000,0.026755571365356445,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,121290153984.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,46,4.577525|3.000000|1.000000,0.027443408966064453,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,115866296320.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,47,4.577525|3.000000|1.000000,0.026741743087768555,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,48,4.577525|3.000000|1.000000,0.027660369873046875,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,138280747008.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,49,4.577525|3.000000|1.000000,0.026661157608032227,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,98800287744.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,50,4.577525|3.000000|1.000000,0.02683281898498535,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,62398541824.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,51,4.577525|3.000000|1.000000,0.02720189094543457,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,111117287424.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,52,4.577525|3.000000|1.000000,0.027545690536499023,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,110307557376.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,53,4.577525|3.000000|1.000000,0.026763439178466797,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,78695014400.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,54,4.577525|3.000000|1.000000,0.027153491973876953,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,98066882560.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,55,4.577525|3.000000|1.000000,0.02617335319519043,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,93879885824.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,56,4.577525|3.000000|1.000000,0.02771735191345215,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,129075036160.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,57,4.577525|3.000000|1.000000,0.026446104049682617,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,105609224192.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,58,4.577525|3.000000|1.000000,0.027521848678588867,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,137152774144.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,59,4.577525|3.000000|1.000000,0.027018308639526367,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,113863049216.000000,N/A,2,5
