MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,60,8.148417|7.000000|1.000000,0.026396989822387695,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,64664604672.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,61,8.148417|7.000000|1.000000,0.02661895751953125,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,57205780480.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,62,8.148417|7.000000|1.000000,0.026427745819091797,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,93262790656.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,63,8.148417|7.000000|1.000000,0.027070283889770508,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,77086662656.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,64,8.148417|7.000000|1.000000,0.027144670486450195,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,56909815808.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,65,8.148417|7.000000|1.000000,0.02552509307861328,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,89456803840.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,66,8.148417|7.000000|1.000000,0.02625250816345215,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,96287457280.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,67,8.148417|7.000000|1.000000,0.026500940322875977,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,93361995776.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,68,8.148417|7.000000|1.000000,0.026272058486938477,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,93065142272.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,69,8.148417|7.000000|1.000000,0.02607440948486328,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,6607939072.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,70,8.148417|7.000000|1.000000,0.027046680450439453,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,59740364800.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,71,8.148417|7.000000|1.000000,0.027018308639526367,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,64319094784.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,72,8.148417|7.000000|1.000000,0.02538752555847168,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,55618482176.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,73,8.148417|7.000000|1.000000,0.026446104049682617,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,110944436224.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,74,8.148417|7.000000|1.000000,0.027693986892700195,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,73830563840.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,75,8.148417|7.000000|1.000000,0.02590322494506836,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,72587223040.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,76,8.148417|7.000000|1.000000,0.025802135467529297,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,53019279360.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,77,8.148417|7.000000|1.000000,0.026847124099731445,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,102585581568.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,78,8.148417|7.000000|1.000000,0.02653646469116211,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,106529685504.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,79,8.148417|7.000000|1.000000,0.026791810989379883,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,49166344192.000000,N/A,2,5
