MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,21,8.146890|7.000000|1.000000,0.027235746383666992,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,43501608960.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,22,8.146890|7.000000|1.000000,0.02631521224975586,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,96400121856.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,23,8.146890|7.000000|1.000000,0.0268402099609375,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,77188210688.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,24,8.146890|7.000000|1.000000,0.026885986328125,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,72133976064.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,25,8.146890|7.000000|1.000000,0.026768207550048828,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,79920832512.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,26,8.146890|7.000000|1.000000,0.026279926300048828,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,68187066368.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,27,8.146890|7.000000|1.000000,0.026541709899902344,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,28234379264.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,28,8.146890|7.000000|1.000000,0.02676701545715332,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,23994171392.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,29,8.146890|7.000000|1.000000,0.026801586151123047,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,84432535552.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,30,7.334017|7.000000|2.000000,0.027490854263305664,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,97947688960.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,31,7.334017|7.000000|2.000000,0.026248693466186523,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,69730369536.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,32,7.334017|7.000000|2.000000,0.02645134925842285,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,70769524736.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,33,7.334017|7.000000|2.000000,0.02660369873046875,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,93258465280.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,34,7.334017|7.000000|2.000000,0.02641606330871582,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,87908360192.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,35,7.334017|7.000000|2.000000,0.026468276977539062,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,89381330944.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,36,7.334017|7.000000|2.000000,0.0274045467376709,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,63942717440.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,37,7.334017|7.000000|2.000000,0.026546955108642578,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,82396708864.000000,N/A,2,5
