MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,36,2043.590576|5.000000,0.022442340850830078,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,33524533248.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,37,2043.590576|5.000000,0.02155327796936035,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,19568652288.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,38,2043.590576|5.000000,0.02187824249267578,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,47554801664.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,39,2043.590576|5.000000,0.021065235137939453,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,40,2043.590576|5.000000,0.022362232208251953,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,70241697792.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,41,2043.590576|5.000000,0.020589590072631836,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,59526549504.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,42,2043.590576|5.000000,0.020794391632080078,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,70453723136.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,43,2043.590576|5.000000,0.022296905517578125,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,50973057024.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,44,2043.590576|5.000000,0.02291131019592285,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,18321225728.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,45,2043.590576|5.000000,0.022971153259277344,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,37643046912.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,46,2043.590576|5.000000,0.021726369857788086,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,29430730752.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,47,2043.590576|5.000000,0.02324056625366211,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,50914443264.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,48,2043.590576|5.000000,0.02196669578552246,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,72014684160.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,49,2043.590576|5.000000,0.021363496780395508,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,50076798976.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,50,2043.590576|5.000000,0.02149653434753418,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,53568901120.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,51,2043.590576|5.000000,0.022608518600463867,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,20270.652344,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,52,2043.590576|5.000000,0.0217742919921875,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,54522605568.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,53,2043.590576|5.000000,0.02271866798400879,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,49788551168.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,54,2043.590576|5.000000,0.0228421688079834,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,8746162176.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,55,2043.590576|5.000000,0.022557497024536133,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,42595569664.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,56,2043.590576|5.000000,0.022239208221435547,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,12449896448.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,57,2043.590576|5.000000,0.021483182907104492,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,47195062272.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,58,2043.590576|5.000000,0.02030634880065918,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,30044059648.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,59,2043.590576|5.000000,0.022910118103027344,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,69881913344.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,60,2043.590576|5.000000,0.021271705627441406,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,78099529728.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,61,2043.590576|5.000000,0.02290034294128418,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,99221.273438,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,62,2043.590576|5.000000,0.02061152458190918,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,49784041472.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,63,2043.590576|5.000000,0.02144026756286621,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,62895534080.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,64,2043.590576|5.000000,0.022145986557006836,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,12095682560.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,65,2043.590576|5.000000,0.02288079261779785,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,286.276733,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,66,2043.590576|5.000000,0.021487712860107422,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,71260028928.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,67,2043.590576|5.000000,0.021683692932128906,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,49917153280.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,68,2043.590576|5.000000,0.0220184326171875,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,46297038848.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,69,2043.590576|5.000000,0.020950794219970703,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,64339292160.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,70,2033.626953|7.000000,0.022103548049926758,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,168112688.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,71,2033.626953|7.000000,0.06319069862365723,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,49784041472.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,72,2033.626953|7.000000,0.021709680557250977,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,43573411840.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,73,2033.626953|7.000000,0.022322893142700195,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,45962244096.000000,N/A,2,5
