MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,25,4.534750|3.000000,0.019858598709106445,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,89794682880.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,26,4.534750|3.000000,0.0202634334564209,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,83713015808.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,27,4.534750|3.000000,0.018398284912109375,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,48442081280.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,28,4.534750|3.000000,0.01899886131286621,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,65255260160.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,29,4.534750|3.000000,0.018918514251708984,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,60963880960.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,30,4.534750|3.000000,0.01912832260131836,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,31,4.534750|3.000000,0.02054595947265625,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,96583286784.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,32,4.534750|3.000000,0.019115686416625977,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,104589058048.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,33,4.534750|3.000000,0.019404172897338867,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,87913373696.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,34,4.534750|3.000000,0.01959371566772461,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,96448389120.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,35,4.534750|3.000000,0.019414901733398438,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,85532491776.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,36,4.534750|3.000000,0.019629716873168945,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,66137362432.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,37,4.534750|3.000000,0.020256519317626953,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111984295936.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,38,4.534750|3.000000,0.019411563873291016,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,75845271552.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,39,4.534750|3.000000,0.01838827133178711,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,76096937984.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,40,4.534750|3.000000,0.019688129425048828,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,139052056576.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,41,4.534750|3.000000,0.01870274543762207,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111453724672.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,42,4.534750|3.000000,0.018970489501953125,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,128698736640.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,43,4.534750|3.000000,0.019943952560424805,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111378030592.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,44,4.534750|3.000000,0.019011259078979492,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,45,4.534750|3.000000,0.01912546157836914,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,143551938560.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,46,4.534750|3.000000,0.019136667251586914,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,120928518144.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,47,4.534750|3.000000,0.019341707229614258,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,56638676992.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,48,4.534750|3.000000,0.019922256469726562,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,107054432256.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,49,4.534750|3.000000,0.019219160079956055,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,92857745408.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,50,4.534750|3.000000,0.019892454147338867,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,110653407232.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,51,4.534750|3.000000,0.018837451934814453,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,8605634560.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,52,4.534750|3.000000,0.019421815872192383,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,96468082688.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,53,4.534750|3.000000,0.020121335983276367,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,90030039040.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,54,4.534750|3.000000,0.01868605613708496,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,83631104000.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,55,4.534750|3.000000,0.019453048706054688,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,79916032000.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,56,4.534750|3.000000,0.019002437591552734,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,86277169152.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,57,4.534750|3.000000,0.020377635955810547,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111592775680.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,58,4.534750|3.000000,0.01898789405822754,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111101313024.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,59,4.534750|3.000000,0.019039154052734375,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,120301281280.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,60,4.534750|3.000000,0.018836021423339844,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,89909927936.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,61,4.534750|3.000000,0.019169330596923828,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,79616327680.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,62,4.534750|3.000000,0.019158124923706055,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,92970467328.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,63,4.534750|3.000000,0.019412994384765625,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,100440014848.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,64,4.534750|3.000000,0.0193634033203125,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,82529673216.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,65,4.534750|3.000000,0.019114017486572266,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,99497934848.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,66,4.534750|3.000000,0.019126176834106445,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,82751692800.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,67,4.534750|3.000000,0.02048492431640625,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111872352256.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,68,4.534750|3.000000,0.05900692939758301,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,104968888320.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,69,4.534750|3.000000,0.018906831741333008,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,87684628480.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,70,4.534750|3.000000,0.019267797470092773,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,71,4.534750|3.000000,0.019338607788085938,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,125809238016.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,72,4.534750|3.000000,0.020080089569091797,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,103460823040.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,73,4.534750|3.000000,0.01975703239440918,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,74609885184.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,74,4.534750|3.000000,0.01973271369934082,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,100341972992.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,75,4.534750|3.000000,0.01995849609375,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111728975872.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,76,4.534750|3.000000,0.019065380096435547,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,116963336192.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,77,4.534750|3.000000,0.020429611206054688,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,102499287040.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,78,4.534750|3.000000,0.019134044647216797,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,46728409088.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,79,4.534750|3.000000,0.019594430923461914,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,110430584832.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,80,4.534750|3.000000,0.019389629364013672,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,80087089152.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,81,4.534750|3.000000,0.019800186157226562,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,97351507968.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,82,4.534750|3.000000,0.01856398582458496,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,125785636864.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,83,4.534750|3.000000,0.01982736587524414,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,93015515136.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,84,4.534750|3.000000,0.019596099853515625,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,85388992512.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,85,4.534750|3.000000,0.020099878311157227,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,99498287104.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,86,4.534750|3.000000,0.019183635711669922,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,100943953920.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,87,4.534750|3.000000,0.019153833389282227,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,99521232896.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,88,4.534750|3.000000,0.019176959991455078,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,82753757184.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,89,4.534750|3.000000,0.019298315048217773,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,121552453632.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,90,4.534750|3.000000,0.01915574073791504,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,71549960192.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,91,4.534750|3.000000,0.018984556198120117,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,105313443840.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,92,4.534750|3.000000,0.02048778533935547,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,48975282176.000000,N/A,1,5
