MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,35,4.448025|3.000000|1.000000,0.027898311614990234,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,112462512128.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,36,4.448025|3.000000|1.000000,0.02669239044189453,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,37,4.448025|3.000000|1.000000,0.026586532592773438,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,70964895744.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,38,4.448025|3.000000|1.000000,0.02663397789001465,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,86277054464.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,39,4.448025|3.000000|1.000000,0.026458024978637695,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,82495782912.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,40,4.448025|3.000000|1.000000,0.026998519897460938,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,131986022400.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,41,4.448025|3.000000|1.000000,0.026310443878173828,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,86277136384.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,42,4.448025|3.000000|1.000000,0.026700735092163086,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,89444622336.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,43,4.448025|3.000000|1.000000,0.026748180389404297,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,72564989952.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,44,4.448025|3.000000|1.000000,0.025876760482788086,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,110759215104.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,45,4.448025|3.000000|1.000000,0.02631092071533203,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,111101566976.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,46,4.448025|3.000000|1.000000,0.027747154235839844,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,98731507712.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,47,4.448025|3.000000|1.000000,0.026787757873535156,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,3328137984.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,48,4.448025|3.000000|1.000000,0.027223587036132812,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,113709744128.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,49,4.448025|3.000000|1.000000,0.02679920196533203,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,124641034240.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,50,4.448025|3.000000|1.000000,0.026778459548950195,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,87130259456.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,51,4.448025|3.000000|1.000000,0.027283430099487305,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,111118147584.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,52,4.448025|3.000000|1.000000,0.02736949920654297,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,102387187712.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,53,4.448025|3.000000|1.000000,0.02692270278930664,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,75439030272.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,54,4.448025|3.000000|1.000000,0.027657508850097656,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,104352514048.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,55,4.448025|3.000000|1.000000,0.026155710220336914,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,74439671808.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,56,4.448025|3.000000|1.000000,0.027405500411987305,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,110416576512.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,57,4.448025|3.000000|1.000000,0.026457786560058594,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,82779602944.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,58,4.448025|3.000000|1.000000,0.027247905731201172,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,142527627264.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,59,4.448025|3.000000|1.000000,0.026836872100830078,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,85382316032.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,60,4.448025|3.000000|1.000000,0.026899099349975586,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,96177102848.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,61,4.448025|3.000000|1.000000,0.026356220245361328,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,56454189056.000000,N/A,2,5
