MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,47,4.389738|3.000000,0.019250154495239258,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,111102427136.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,48,4.389738|3.000000,0.020030736923217773,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,117458886656.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,49,4.389738|3.000000,0.01963973045349121,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,96423919616.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,50,4.389738|3.000000,0.02005791664123535,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,135668703232.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,51,4.389738|3.000000,0.018688201904296875,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,27347959808.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,52,4.389738|3.000000,0.019027233123779297,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,82890194944.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,53,4.389738|3.000000,0.019725799560546875,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,74428702720.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,54,4.389738|3.000000,0.019632339477539062,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,83105161216.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,55,4.389738|3.000000,0.019756078720092773,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,94020091904.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,56,4.389738|3.000000,0.01879143714904785,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,84135297024.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,57,4.389738|3.000000,0.020142078399658203,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,126654504960.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,58,4.389738|3.000000,0.019321680068969727,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,93879566336.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,59,4.389738|3.000000,0.018946409225463867,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,88931106816.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,60,4.389738|3.000000,0.01896834373474121,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,71953031168.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,61,4.389738|3.000000,0.019118309020996094,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,125229441024.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,62,3.868472|7.000000,0.018839359283447266,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,71592574976.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,63,3.868472|7.000000,0.019679546356201172,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,75319074816.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,64,3.868472|7.000000,0.01932525634765625,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,65,3.868472|7.000000,0.01908588409423828,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,97165754368.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,66,3.868472|7.000000,0.01941537857055664,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,83804758016.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,67,3.868472|7.000000,0.01961541175842285,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,114795814912.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,68,3.868472|7.000000,0.019324302673339844,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,118032703488.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,69,3.868472|7.000000,0.020061492919921875,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,85523849216.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,70,3.868472|7.000000,0.01886916160583496,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,86334169088.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,71,3.868472|7.000000,0.019382238388061523,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,79714631680.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,72,3.868472|7.000000,0.019603490829467773,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,79269904384.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,73,3.868472|7.000000,0.019184112548828125,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,108497018880.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,74,3.868472|7.000000,0.019944429397583008,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,115641065472.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,75,3.868472|7.000000,0.020136594772338867,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,118625697792.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,76,3.868472|7.000000,0.019580841064453125,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,108602466304.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,77,3.868472|7.000000,0.01988387107849121,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,94713896960.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,78,3.868472|7.000000,0.019326210021972656,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,115765223424.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,79,3.868472|7.000000,0.058649539947509766,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,80060768256.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,80,3.868472|7.000000,0.018897294998168945,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,108536422400.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,81,3.868472|7.000000,0.019827842712402344,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,105657073664.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,82,3.868472|7.000000,0.01907658576965332,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,71006478336.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,83,3.868472|7.000000,0.019415855407714844,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,91117862912.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,84,3.868472|7.000000,0.019557952880859375,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,118653755392.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,85,3.868472|7.000000,0.0199432373046875,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,108359188480.000000,N/A,2,5
