MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,21,4.605806|3.000000|1.000000,0.027156352996826172,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,100914036736.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,22,4.605806|3.000000|1.000000,0.027327299118041992,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,135381762048.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,23,4.605806|3.000000|1.000000,0.026231050491333008,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,80992141312.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,24,4.605806|3.000000|1.000000,0.027428865432739258,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,98613870592.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,25,4.605806|3.000000|1.000000,0.026237964630126953,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,103989706752.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,26,4.605806|3.000000|1.000000,0.026820898056030273,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,147812417536.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,27,4.605806|3.000000|1.000000,0.0269625186920166,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,70396510208.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,28,4.605806|3.000000|1.000000,0.02621626853942871,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,60498481152.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,29,4.605806|3.000000|1.000000,0.02715158462524414,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,107331436544.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,30,4.605806|3.000000|1.000000,0.027351856231689453,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,98417459200.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,31,4.605806|3.000000|1.000000,0.02744007110595703,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,62124224512.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,32,4.605806|3.000000|1.000000,0.02671074867248535,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,99498721280.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,33,4.605806|3.000000|1.000000,0.02599167823791504,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,85727928320.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,34,4.605806|3.000000|1.000000,0.026867151260375977,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,86190055424.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,35,4.605806|3.000000|1.000000,0.02780747413635254,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,74996260864.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,36,4.605806|3.000000|1.000000,0.027000904083251953,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,79903768576.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,37,4.605806|3.000000|1.000000,0.027121543884277344,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,82387853312.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,38,4.605806|3.000000|1.000000,0.026659488677978516,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,106554769408.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,39,4.605806|3.000000|1.000000,0.025920629501342773,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,62306889728.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,40,4.605806|3.000000|1.000000,0.026878833770751953,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,121589153792.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,41,4.605806|3.000000|1.000000,0.02666759490966797,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,62790516736.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,42,4.605806|3.000000|1.000000,0.02634406089782715,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,132201103360.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,43,4.605806|3.000000|1.000000,0.02711200714111328,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,74187513856.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,44,4.605806|3.000000|1.000000,0.025848865509033203,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,87236935680.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,45,4.605806|3.000000|1.000000,0.026258468627929688,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,87632584704.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,46,4.605806|3.000000|1.000000,0.02773880958557129,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,120921088000.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,47,4.605806|3.000000|1.000000,0.02679729461669922,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,81489010688.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,48,4.605806|3.000000|1.000000,0.02775263786315918,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,111347359744.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,49,4.605806|3.000000|1.000000,0.0269320011138916,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,106256039936.000000,N/A,2,5
