MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,58,4.659552|3.000000|1.000000,0.027316570281982422,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,121551273984.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,59,4.659552|3.000000|1.000000,0.026812314987182617,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,82507079680.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,60,4.659552|3.000000|1.000000,0.026881933212280273,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,125252698112.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,61,4.659552|3.000000|1.000000,0.026393651962280273,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,79828172800.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,62,4.659552|3.000000|1.000000,0.026315927505493164,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,23482767360.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,63,4.659552|3.000000|1.000000,0.026867151260375977,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,99517472768.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,64,4.659552|3.000000|1.000000,0.026523590087890625,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,83054616576.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,65,4.659552|3.000000|1.000000,0.026170969009399414,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,85388353536.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,66,4.659552|3.000000|1.000000,0.026190757751464844,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,79828172800.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,67,4.659552|3.000000|1.000000,0.02645587921142578,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,94123106304.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,68,4.659552|3.000000|1.000000,0.0265960693359375,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,100877328384.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,69,4.659552|3.000000|1.000000,0.026758193969726562,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,96088137728.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,70,4.659552|3.000000|1.000000,0.027936458587646484,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,128340729856.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,71,4.659552|3.000000|1.000000,0.025887727737426758,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,116879548416.000000,N/A,2,5
