MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,23,8.383423|7.000000|1.000000,0.026743650436401367,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,52034641920.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,24,8.383423|7.000000|1.000000,0.027034521102905273,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,88084709376.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,25,8.383423|7.000000|1.000000,0.026562213897705078,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,38709944320.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,26,8.383423|7.000000|1.000000,0.026410818099975586,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,112758620160.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,27,8.383423|7.000000|1.000000,0.026314496994018555,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,30419079168.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,28,8.383423|7.000000|1.000000,0.02702498435974121,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,57923887104.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,29,8.383423|7.000000|1.000000,0.02664637565612793,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,85069873152.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,30,8.088946|7.000000|1.000000,0.027418851852416992,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,94363787264.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,31,8.088946|7.000000|1.000000,0.02606964111328125,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,76237094912.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,32,8.088946|7.000000|1.000000,0.02656722068786621,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,31073206272.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,33,8.088946|7.000000|1.000000,0.026685476303100586,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,79884419072.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,34,8.088946|7.000000|1.000000,0.02646350860595703,7.0,7.619530|7.000000|1.000000,8.088946|7.000000|1.000000,7.619530|7.000000|1.000000,7,105268502528.000000,N/A,2,5
