MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,34,7.684467|7.000000|1.000000,0.02639460563659668,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,90280214528.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,35,7.684467|7.000000|1.000000,0.02607250213623047,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,34405507072.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,36,7.684467|7.000000|1.000000,0.027380704879760742,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,68386553856.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,37,7.684467|7.000000|1.000000,0.026424646377563477,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,56843812864.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,38,7.684467|7.000000|1.000000,0.025638580322265625,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,86052904960.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,39,7.684467|7.000000|1.000000,0.025959491729736328,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,88753471488.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,40,7.684467|7.000000|1.000000,0.025899171829223633,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,151.569107,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,41,7.684467|7.000000|1.000000,0.026282787322998047,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,91475337216.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,42,7.684467|7.000000|1.000000,0.026276588439941406,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,44929331200.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,43,7.684467|7.000000|1.000000,0.027395248413085938,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,97619722240.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,44,7.684467|7.000000|1.000000,0.026510953903198242,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,79806316544.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,45,7.684467|7.000000|1.000000,0.026468992233276367,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,103820656640.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,46,7.684467|7.000000|1.000000,0.027341365814208984,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,118218694656.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,47,7.684467|7.000000|1.000000,0.026714563369750977,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,53545721856.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,48,7.684467|7.000000|1.000000,0.026310205459594727,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,72696266752.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,49,7.684467|7.000000|1.000000,0.02678990364074707,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,79038906368.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,50,7.684467|7.000000|1.000000,0.026479482650756836,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,74688053248.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,51,7.684467|7.000000|1.000000,0.026703596115112305,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,89966993408.000000,N/A,2,5
