MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,30,4.598747|3.000000|1.000000,0.027355432510375977,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,49937240064.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,31,4.598747|3.000000|1.000000,0.02742624282836914,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,116081139712.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,32,4.598747|3.000000|1.000000,0.026209115982055664,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,99797721088.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,33,4.598747|3.000000|1.000000,0.026364803314208984,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,106757627904.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,34,4.598747|3.000000|1.000000,0.025995254516601562,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,88921341952.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,35,4.598747|3.000000|1.000000,0.027681350708007812,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,105020710912.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,36,4.598747|3.000000|1.000000,0.026962995529174805,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,86277144576.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,37,4.598747|3.000000|1.000000,0.026498794555664062,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,82223644672.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,38,4.598747|3.000000|1.000000,0.02635049819946289,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,73244868608.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,39,4.598747|3.000000|1.000000,0.027500152587890625,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,79143788544.000000,N/A,2,5
