MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,38,7.764309|7.000000|1.000000,0.025400638580322266,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,42943680512.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,39,7.764309|7.000000|1.000000,0.026424646377563477,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,103056351232.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,40,7.764309|7.000000|1.000000,0.025902509689331055,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,100448174080.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,41,7.764309|7.000000|1.000000,0.026580333709716797,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,102186655744.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,42,7.764309|7.000000|1.000000,0.026325464248657227,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,97536712704.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,43,7.764309|7.000000|1.000000,0.027413368225097656,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,80148103168.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,44,7.764309|7.000000|1.000000,0.026102066040039062,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,59437338624.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,45,7.764309|7.000000|1.000000,0.026398181915283203,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,98783264768.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,46,7.764309|7.000000|1.000000,0.027422189712524414,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,120393490432.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,47,7.764309|7.000000|1.000000,0.02657485008239746,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,99474522112.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,48,7.764309|7.000000|1.000000,0.02636551856994629,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,78146871296.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,49,7.764309|7.000000|1.000000,0.026943445205688477,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,94055178240.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,50,7.764309|7.000000|1.000000,0.026294946670532227,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,69867757568.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,51,7.764309|7.000000|1.000000,0.026970624923706055,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,64572231680.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,52,7.764309|7.000000|1.000000,0.026228666305541992,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,87312998400.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,53,7.764309|7.000000|1.000000,0.02656698226928711,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,85637472256.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,54,7.764309|7.000000|1.000000,0.02712082862854004,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,90502094848.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,55,7.764309|7.000000|1.000000,0.025288105010986328,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,16121326592.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,56,7.764309|7.000000|1.000000,0.027283668518066406,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,50625163264.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,57,7.764309|7.000000|1.000000,0.02679753303527832,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,58465783808.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,58,7.764309|7.000000|1.000000,0.026818513870239258,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,38776098816.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,59,7.764309|7.000000|1.000000,0.02730393409729004,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,83495968768.000000,N/A,2,5
