MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,91,4.484513|3.000000,0.04484367370605469,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,116300922880.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,92,4.484513|3.000000,0.039437294006347656,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,48818765824.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,93,4.484513|3.000000,0.04523444175720215,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,111680167936.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,94,4.484513|3.000000,0.04581809043884277,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,74823237632.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,95,4.484513|3.000000,0.04548835754394531,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,107690688512.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,96,4.484513|3.000000,0.04879951477050781,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,70533365760.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,97,4.484513|3.000000,0.046399593353271484,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,99598811136.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,98,4.484513|3.000000,0.045850276947021484,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,99825238016.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,99,4.484513|3.000000,0.048441171646118164,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,89040125952.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,100,4.484513|3.000000,0.0512537956237793,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,93762846720.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,101,4.484513|3.000000,0.03406357765197754,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,100159627264.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,102,4.484513|3.000000,0.05015254020690918,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,70533603328.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,103,4.484513|3.000000,0.04997730255126953,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,121550585856.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,104,4.484513|3.000000,0.034494876861572266,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,133986566144.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,105,4.484513|3.000000,0.045914649963378906,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,80189472768.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,106,4.484513|3.000000,0.03555631637573242,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,125839548416.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,107,4.484513|3.000000,0.05059957504272461,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,121552478208.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,108,4.484513|3.000000,0.04923558235168457,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,49950679040.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,109,4.484513|3.000000,0.03328704833984375,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,70561292288.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,110,4.484513|3.000000,0.04880952835083008,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,98777751552.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,111,4.484513|3.000000,0.05000448226928711,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,71888519168.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,112,4.484513|3.000000,0.04775071144104004,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,118620471296.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,113,4.484513|3.000000,0.04990243911743164,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,75493195776.000000,N/A,1,5
