MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,72,4.337151|3.000000,0.019623756408691406,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,118589636608.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,73,4.337151|3.000000,0.019891977310180664,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86324584448.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,74,4.337151|3.000000,0.019558191299438477,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,106718855168.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,75,4.337151|3.000000,0.020000457763671875,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,54844452864.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,76,4.337151|3.000000,0.020078182220458984,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,119038787584.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,77,4.337151|3.000000,0.020145416259765625,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,100245110784.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,78,4.337151|3.000000,0.019377946853637695,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,91541708800.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,79,4.337151|3.000000,0.01955103874206543,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86277144576.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,80,4.337151|3.000000,0.01894235610961914,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86310150144.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,81,4.337151|3.000000,0.019997596740722656,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,69738782720.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,82,4.337151|3.000000,0.01858043670654297,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,98754519040.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,83,4.337151|3.000000,0.01943063735961914,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,53355499520.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,84,4.337151|3.000000,0.01947331428527832,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,100507254784.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,85,4.337151|3.000000,0.020694732666015625,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,121330769920.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,86,4.337151|3.000000,0.01974320411682129,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,105361145856.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,87,4.337151|3.000000,0.019150257110595703,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,42101024.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,88,4.337151|3.000000,0.01899123191833496,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,1194220.250000,N/A,1,5
