MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,33,4.610571|3.000000|1.000000,0.026357412338256836,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,51408814080.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,34,4.610571|3.000000|1.000000,0.02688741683959961,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,110270275584.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,35,4.610571|3.000000|1.000000,0.028049230575561523,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,112091070464.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,36,4.610571|3.000000|1.000000,0.02687692642211914,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,73374056448.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,37,4.610571|3.000000|1.000000,0.0268251895904541,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,100313636864.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,38,4.610571|3.000000|1.000000,0.026542186737060547,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,99498639360.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,39,4.610571|3.000000|1.000000,0.026437997817993164,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94521630720.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,40,4.610571|3.000000|1.000000,0.02682018280029297,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,141387235328.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,41,4.610571|3.000000|1.000000,0.02648758888244629,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,139993694208.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,42,4.610571|3.000000|1.000000,0.027180910110473633,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,94488756224.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,43,4.610571|3.000000|1.000000,0.026678800582885742,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,100910006272.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,44,4.610571|3.000000|1.000000,0.025908708572387695,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,58252349440.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,45,4.610571|3.000000|1.000000,0.026656150817871094,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,131220676608.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,46,4.610571|3.000000|1.000000,0.02751302719116211,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,121096355840.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,47,4.610571|3.000000|1.000000,0.02680182456970215,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,97486766080.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,48,4.610571|3.000000|1.000000,0.027443885803222656,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,98661548032.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,49,4.610571|3.000000|1.000000,0.027051210403442383,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,119736221696.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,50,4.610571|3.000000|1.000000,0.026750802993774414,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,83834552320.000000,N/A,2,5
