MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,47,4.565099|3.000000|1.000000,0.02671504020690918,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,109539917824.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,48,4.565099|3.000000|1.000000,0.027173995971679688,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,85416067072.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,49,4.565099|3.000000|1.000000,0.026981353759765625,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,119517331456.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,50,4.565099|3.000000|1.000000,0.026606082916259766,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,83410255872.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,51,4.565099|3.000000|1.000000,0.027353286743164062,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,104309940224.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,52,4.565099|3.000000|1.000000,0.02741074562072754,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,128998170624.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,53,4.565099|3.000000|1.000000,0.026916027069091797,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,110811717632.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,54,4.565099|3.000000|1.000000,0.027385711669921875,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,105518129152.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,55,4.565099|3.000000|1.000000,0.026374101638793945,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,93143441408.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,56,4.565099|3.000000|1.000000,0.027216196060180664,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,69474197504.000000,N/A,2,5
