MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,21,4.338696|7.000000|1.000000,0.06668996810913086,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,102216171520.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,22,4.338696|7.000000|1.000000,0.05201578140258789,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,117910888448.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,23,4.338696|7.000000|1.000000,0.06849980354309082,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,49940316160.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,24,4.338696|7.000000|1.000000,0.07464385032653809,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,105154502656.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,25,4.338696|7.000000|1.000000,0.06929874420166016,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,116065492992.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,26,4.338696|7.000000|1.000000,0.06469869613647461,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,55280996352.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,27,4.338696|7.000000|1.000000,0.06720614433288574,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,114718310400.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,28,4.338696|7.000000|1.000000,0.06667709350585938,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,49937424384.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,29,4.338696|7.000000|1.000000,0.06762003898620605,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,65956741120.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,30,4.338696|7.000000|1.000000,0.06621980667114258,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,70533259264.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,31,4.338696|7.000000|1.000000,0.06665158271789551,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,70577897472.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,32,4.338696|7.000000|1.000000,0.06783866882324219,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,70533152768.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,33,4.338696|7.000000|1.000000,0.06796979904174805,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,109181444096.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,34,4.338696|7.000000|1.000000,0.06659364700317383,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,103565131776.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,35,4.338696|7.000000|1.000000,0.06753969192504883,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,66015801344.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,36,4.338696|7.000000|1.000000,0.08855819702148438,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,86276825088.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,37,4.338696|7.000000|1.000000,0.0748295783996582,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,110790090752.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,38,4.338696|7.000000|1.000000,0.06801509857177734,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,125573685248.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,39,4.338696|7.000000|1.000000,0.04992198944091797,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,49937203200.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,40,4.338696|7.000000|1.000000,0.06584596633911133,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,75717591040.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,41,4.338696|7.000000|1.000000,0.05573248863220215,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,96098574336.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,42,4.338696|7.000000|1.000000,0.06537175178527832,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,95238356992.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,43,4.338696|7.000000|1.000000,0.11360025405883789,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,95528607744.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,44,4.338696|7.000000|1.000000,0.06592011451721191,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,83650125824.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,45,4.338696|7.000000|1.000000,0.06659531593322754,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,80424615936.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,46,4.338696|7.000000|1.000000,0.0727546215057373,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,112805781504.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,47,4.338696|7.000000|1.000000,0.06783795356750488,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,86277177344.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,48,4.338696|7.000000|1.000000,0.06682729721069336,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,130548252672.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,49,4.338696|7.000000|1.000000,0.06652092933654785,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,66839576576.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,50,4.338696|7.000000|1.000000,0.04949188232421875,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,79886352384.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,51,4.338696|7.000000|1.000000,0.06651973724365234,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,79007039488.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,52,4.338696|7.000000|1.000000,0.06672215461730957,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,53,4.338696|7.000000|1.000000,0.06435585021972656,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,97061953536.000000,N/A,2,5
