MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,37,4.521828|3.000000|1.000000,0.026554584503173828,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,62112653312.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,38,4.521828|3.000000|1.000000,0.026128530502319336,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,99498631168.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,39,4.521828|3.000000|1.000000,0.026319026947021484,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,93570703360.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,40,4.521828|3.000000|1.000000,0.026795625686645508,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,141050937344.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,41,4.521828|3.000000|1.000000,0.02652263641357422,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,139993579520.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,42,4.521828|3.000000|1.000000,0.026669740676879883,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,94640832512.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,43,4.521828|3.000000|1.000000,0.02654123306274414,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,101122957312.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,44,4.521828|3.000000|1.000000,0.02567911148071289,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,58498441216.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,45,4.521828|3.000000|1.000000,0.02652740478515625,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,130822422528.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,46,4.521828|3.000000|1.000000,0.027454137802124023,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,120371298304.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,47,4.521828|3.000000|1.000000,0.02647089958190918,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,97699233792.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,48,4.521828|3.000000|1.000000,0.027455568313598633,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,98684911616.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,49,4.521828|3.000000|1.000000,0.02705526351928711,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,119371382784.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,50,4.521828|3.000000|1.000000,0.026493549346923828,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,83354492928.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,51,4.521828|3.000000|1.000000,0.02751445770263672,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,104239677440.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,52,4.521828|3.000000|1.000000,0.027313947677612305,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,136040538112.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,53,4.521828|3.000000|1.000000,0.026705026626586914,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,130664620032.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,54,4.521828|3.000000|1.000000,0.02726149559020996,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,57775329280.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,55,4.521828|3.000000|1.000000,0.026221513748168945,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,93019086848.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,56,4.521828|3.000000|1.000000,0.027634382247924805,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,67045015552.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,57,4.521828|3.000000|1.000000,0.06326603889465332,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,99944022016.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,58,4.521828|3.000000|1.000000,0.02734661102294922,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,121551249408.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,59,4.521828|3.000000|1.000000,0.026966571807861328,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,82061066240.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,60,4.521828|3.000000|1.000000,0.026869535446166992,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,124982206464.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,61,4.521828|3.000000|1.000000,0.026372671127319336,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,79596699648.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,62,4.521828|3.000000|1.000000,0.026365280151367188,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,23261841408.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,63,4.521828|3.000000|1.000000,0.027205228805541992,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,99519332352.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,64,4.521828|3.000000|1.000000,0.026386022567749023,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,82670845952.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,65,4.521828|3.000000|1.000000,0.026132822036743164,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,85334228992.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,66,4.521828|3.000000|1.000000,0.02629995346069336,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,79596699648.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,67,4.521828|3.000000|1.000000,0.026536226272583008,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,93931741184.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,68,4.521828|3.000000|1.000000,0.026784658432006836,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,100444741632.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,69,4.521828|3.000000|1.000000,0.027029037475585938,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,95714213888.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,70,4.521828|3.000000|1.000000,0.027857542037963867,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,128038027264.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,71,4.521828|3.000000|1.000000,0.02591705322265625,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,116314603520.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,72,4.521828|3.000000|1.000000,0.026468276977539062,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,74003562496.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,73,4.521828|3.000000|1.000000,0.02757430076599121,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,74373111808.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,74,4.521828|3.000000|1.000000,0.027551889419555664,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,101570428928.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,75,4.521828|3.000000|1.000000,0.025565385818481445,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,62158569472.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,76,4.521828|3.000000|1.000000,0.026680946350097656,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,65777770496.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,77,4.521828|3.000000|1.000000,0.02722334861755371,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,87182032896.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,78,4.521828|3.000000|1.000000,0.027667999267578125,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,117035352064.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,79,4.521828|3.000000|1.000000,0.026946067810058594,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,99499204608.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,80,4.521828|3.000000|1.000000,0.027697086334228516,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,93004210176.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,81,4.521828|3.000000|1.000000,0.026309967041015625,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,128017154048.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,82,4.521828|3.000000|1.000000,0.026446104049682617,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,111305170944.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,83,4.521828|3.000000|1.000000,0.02734375,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,115565076480.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,84,4.521828|3.000000|1.000000,0.027094602584838867,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,82444615680.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,85,4.521828|3.000000|1.000000,0.026615619659423828,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,78897782784.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,86,4.521828|3.000000|1.000000,0.026299476623535156,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,118134775808.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,87,4.521828|3.000000|1.000000,0.028351545333862305,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,94487289856.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,88,4.521828|3.000000|1.000000,0.02623152732849121,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,89,4.521828|3.000000|1.000000,0.02715277671813965,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,69185536000.000000,N/A,2,5
