MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,35,4.610571|3.000000,0.019939899444580078,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,94900281344.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,36,4.610571|3.000000,0.019494056701660156,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,72584069120.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,37,4.610571|3.000000,0.019815683364868164,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,94563844096.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,38,4.610571|3.000000,0.020531892776489258,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,99178373120.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,39,4.610571|3.000000,0.018514394760131836,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,106841677824.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,40,4.610571|3.000000,0.018607378005981445,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,93013442560.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,41,4.610571|3.000000,0.019047975540161133,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86277193728.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,42,4.610571|3.000000,0.018615245819091797,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,62714884096.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,43,4.610571|3.000000,0.02010822296142578,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,130046861312.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,44,4.610571|3.000000,0.019531726837158203,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,83762585600.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,45,4.610571|3.000000,0.019257545471191406,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,114106679296.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,46,4.610571|3.000000,0.018488407135009766,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,125703274496.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,47,4.610571|3.000000,0.019707918167114258,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,116821295104.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,48,4.610571|3.000000,0.019347429275512695,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,84955021312.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,49,4.610571|3.000000,0.019232749938964844,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,101385248768.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,50,4.610571|3.000000,0.020127296447753906,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,113778671616.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,51,4.610571|3.000000,0.01889324188232422,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,99708067840.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,52,4.610571|3.000000,0.018953561782836914,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,90433798144.000000,N/A,1,5
