MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,40,7.643441|3.000000,3.5956642627716064,3.0,8.624413|3.000000,7.694189|5.000000,5,0.695441,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,41,7.643441|3.000000,3.8450701236724854,3.0,8.624413|3.000000,7.694189|5.000000,5,0.412764,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,42,7.643441|3.000000,4.462445020675659,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,43,7.643441|3.000000,4.694373846054077,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,44,7.643441|3.000000,4.634068012237549,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,45,7.643441|3.000000,4.595612049102783,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,46,7.643441|3.000000,4.630608797073364,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,47,7.643441|3.000000,4.66020393371582,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,48,7.643441|3.000000,4.537509202957153,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,49,7.643441|3.000000,4.637578010559082,3.0,8.624413|3.000000,7.694189|5.000000,5,0.133051,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,50,7.643441|3.000000,4.557683944702148,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133068,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,51,7.643441|3.000000,4.346934080123901,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133068,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,52,7.643441|3.000000,4.4956817626953125,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133068,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,53,7.643441|3.000000,4.813943862915039,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133086,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,54,7.643441|3.000000,4.864512920379639,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133086,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,55,7.643441|3.000000,4.6516900062561035,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133086,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,56,7.643441|3.000000,4.482118844985962,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133086,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,57,7.643441|3.000000,4.5050048828125,3.0,8.624413|3.000000,7.405993|11.000000,11,0.133093,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,58,7.643441|3.000000,4.488502025604248,3.0,8.624413|3.000000,7.624914|17.000000,17,0.133116,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,59,7.643441|3.000000,4.487823247909546,3.0,8.624413|3.000000,7.624914|17.000000,17,0.133134,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,60,7.643441|3.000000,4.476438045501709,3.0,8.624413|3.000000,7.521487|13.000000,13,0.133230,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,61,7.643441|3.000000,4.761817932128906,3.0,8.624413|3.000000,7.521487|13.000000,13,0.133230,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,62,7.643441|3.000000,4.4928879737854,3.0,8.624413|3.000000,7.521487|13.000000,13,0.133230,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,63,7.643441|3.000000,4.458122968673706,3.0,8.624413|3.000000,7.521487|13.000000,13,0.133230,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,64,7.643441|3.000000,4.450695991516113,3.0,8.624413|3.000000,7.521487|13.000000,13,0.133230,N/A,5
