MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,48,8.538268|7.000000|1.000000,0.026458740234375,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,28647739392.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,49,8.538268|7.000000|1.000000,0.027051448822021484,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,54993854464.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,50,8.538268|7.000000|1.000000,0.026601791381835938,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,61012168704.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,51,8.538268|7.000000|1.000000,0.026883602142333984,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,96040607744.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,52,8.538268|7.000000|1.000000,0.026581525802612305,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,107689795584.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,53,8.538268|7.000000|1.000000,0.027205944061279297,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,78864900096.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,54,8.538268|7.000000|1.000000,0.02629566192626953,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,69277212672.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,55,8.538268|7.000000|1.000000,0.025928735733032227,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,74709917696.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,56,8.538268|7.000000|1.000000,0.0277712345123291,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,37134782464.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,57,8.538268|7.000000|1.000000,0.026288747787475586,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,56119865344.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,58,8.538268|7.000000|1.000000,0.026833057403564453,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,32791379968.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,59,8.538268|7.000000|1.000000,0.02755570411682129,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,115029680128.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,60,8.538268|7.000000|1.000000,0.026334047317504883,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,96320249856.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,61,8.538268|7.000000|1.000000,0.026903867721557617,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,92105736192.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,62,8.538268|7.000000|1.000000,0.026595354080200195,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,62033035264.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,63,8.538268|7.000000|1.000000,0.06572556495666504,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,49887051776.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,64,8.538268|7.000000|1.000000,0.026552438735961914,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,106814939136.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,65,8.538268|7.000000|1.000000,0.025847911834716797,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,49937309696.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,66,8.538268|7.000000|1.000000,0.026350736618041992,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,65955336192.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,67,8.538268|7.000000|1.000000,0.02637004852294922,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,100816748544.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,68,8.538268|7.000000|1.000000,0.02669048309326172,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,83393380352.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,69,8.538268|7.000000|1.000000,0.026200294494628906,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,58087833600.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,70,8.538268|7.000000|1.000000,0.027043819427490234,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,83546324992.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,71,8.538268|7.000000|1.000000,0.027608633041381836,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,65143144448.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,72,8.538268|7.000000|1.000000,0.02565622329711914,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,79591383040.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,73,8.538268|7.000000|1.000000,0.026097774505615234,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,77955153920.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,74,8.538268|7.000000|1.000000,0.027957439422607422,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,67718025216.000000,N/A,2,5
