MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,73,4.659552|3.000000,0.019667387008666992,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,73284419584.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,74,4.659552|3.000000,0.019561290740966797,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,119759028224.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,75,4.659552|3.000000,0.020435571670532227,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,82556125184.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,76,4.659552|3.000000,0.018981218338012695,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,102616219648.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,77,4.659552|3.000000,0.02008843421936035,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,140181929984.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,78,4.659552|3.000000,0.01920485496520996,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,98729836544.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,79,4.659552|3.000000,0.01938796043395996,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,124170592256.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,80,4.659552|3.000000,0.01879096031188965,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,108502917120.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,81,4.659552|3.000000,0.019771575927734375,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,82863734784.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,82,4.659552|3.000000,0.018774747848510742,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,49863884800.000000,N/A,1,5
