MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,45,2259.319580|9.000000,0.021581172943115234,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,48223326208.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,46,2259.319580|9.000000,0.02158975601196289,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,69011251200.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,47,2259.319580|9.000000,0.0226895809173584,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,46649909248.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,48,2259.319580|9.000000,0.021748781204223633,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,22444810240.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,49,2259.319580|9.000000,0.021488189697265625,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,13615269888.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,50,2259.319580|9.000000,0.020985841751098633,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,68667080704.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,51,2259.319580|9.000000,0.02251267433166504,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,14192674816.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,52,2259.319580|9.000000,0.02179551124572754,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,68316180480.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,53,2259.319580|9.000000,0.022225379943847656,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,52029320.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,54,2259.319580|9.000000,0.023797273635864258,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,57504276480.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,55,2259.319580|9.000000,0.02176976203918457,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,3365604.750000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,56,2259.319580|9.000000,0.02178478240966797,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,30052249600.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,57,2259.319580|9.000000,0.022730112075805664,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,2129918.250000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,58,2259.319580|9.000000,0.022593259811401367,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,47423254528.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,59,2259.319580|9.000000,0.021663188934326172,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,68997488640.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,60,2259.319580|9.000000,0.020577192306518555,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,42265473024.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,61,2259.319580|9.000000,0.02121591567993164,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,100.447327,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,62,2259.319580|9.000000,0.021207809448242188,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,11249556480.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,63,2259.319580|9.000000,0.022294044494628906,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,33783283712.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,64,2259.319580|9.000000,0.022894620895385742,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,11514524672.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,65,2259.319580|9.000000,0.020874500274658203,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,67467886592.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,66,2259.319580|9.000000,0.022080183029174805,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,1794.615967,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,67,2259.319580|9.000000,0.022913455963134766,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,65556152320.000000,N/A,2,5
