MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,52,4.585071|3.000000|1.000000,0.02753424644470215,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,136123908096.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,53,4.585071|3.000000|1.000000,0.026752710342407227,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,130356813824.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,54,4.585071|3.000000|1.000000,0.02741837501525879,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,57912061952.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,55,4.585071|3.000000|1.000000,0.026355504989624023,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,93191782400.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,56,4.585071|3.000000|1.000000,0.02747058868408203,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,67176927232.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,57,4.585071|3.000000|1.000000,0.02674388885498047,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,100017283072.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,58,4.585071|3.000000|1.000000,0.027512788772583008,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,121551257600.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,59,4.585071|3.000000|1.000000,0.026964187622070312,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,82178859008.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,60,4.585071|3.000000|1.000000,0.027016878128051758,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,125312319488.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,61,4.585071|3.000000|1.000000,0.02647876739501953,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,79741452288.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,62,4.585071|3.000000|1.000000,0.026409626007080078,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,23190200320.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,63,4.585071|3.000000|1.000000,0.02748417854309082,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,99519307776.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,64,4.585071|3.000000|1.000000,0.026446104049682617,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,82659344384.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,65,4.585071|3.000000|1.000000,0.02621603012084961,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,85415395328.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,66,4.585071|3.000000|1.000000,0.026456832885742188,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,79741444096.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,67,4.585071|3.000000|1.000000,0.026619672775268555,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,94050459648.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,68,4.585071|3.000000|1.000000,0.026806354522705078,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,100649893888.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,69,4.585071|3.000000|1.000000,0.02700638771057129,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,95774326784.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,70,4.585071|3.000000|1.000000,0.02815413475036621,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,128073793536.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,71,4.585071|3.000000|1.000000,0.02596449851989746,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,116286873600.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,72,4.585071|3.000000|1.000000,0.026289701461791992,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,73910272000.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,73,4.585071|3.000000|1.000000,0.027502775192260742,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,74472808448.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,74,4.585071|3.000000|1.000000,0.027732133865356445,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,101814894592.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,75,4.585071|3.000000|1.000000,0.025678157806396484,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,62344450048.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,76,4.585071|3.000000|1.000000,0.026830673217773438,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,65742647296.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,77,4.585071|3.000000|1.000000,0.027204036712646484,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,87503036416.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,78,4.585071|3.000000|1.000000,0.027988195419311523,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,117429043200.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,79,4.585071|3.000000|1.000000,0.026952743530273438,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,99498795008.000000,N/A,2,5
