MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,28,4.605806|3.000000,0.020150423049926758,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,96326860800.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,29,4.605806|3.000000,0.019449949264526367,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,98927616000.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,30,4.605806|3.000000,0.018760204315185547,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,69492424704.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,31,4.605806|3.000000,0.01888871192932129,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,86305382400.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,32,4.605806|3.000000,0.0192718505859375,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,71210582016.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,33,4.605806|3.000000,0.018862247467041016,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,119978409984.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,34,4.605806|3.000000,0.019349098205566406,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,128524886016.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,35,4.605806|3.000000,0.019359350204467773,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,49945149440.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,36,4.605806|3.000000,0.01979660987854004,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,118870589440.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,37,4.605806|3.000000,0.02009725570678711,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,131533807616.000000,N/A,1,5
