MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,25,7.608275|3.000000,3.4820027351379395,3.0,8.696528|3.000000,8.696528|3.000000,3,0.180939,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,26,7.608275|3.000000,3.3116540908813477,3.0,8.696528|3.000000,8.696528|3.000000,3,0.197358,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,27,7.608275|3.000000,3.2715959548950195,3.0,8.696528|3.000000,8.696528|3.000000,3,0.223469,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,28,7.608275|3.000000,3.4498231410980225,3.0,8.696528|3.000000,8.696528|3.000000,3,0.168787,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,29,7.608275|3.000000,3.933913230895996,3.0,8.696528|3.000000,8.696528|3.000000,3,0.101970,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,30,7.608275|3.000000,4.586209058761597,3.0,8.696528|3.000000,8.696528|3.000000,3,0.101970,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,31,7.608275|3.000000,4.41950798034668,3.0,8.696528|3.000000,8.696528|3.000000,3,0.101970,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,32,7.608275|3.000000,4.654608964920044,3.0,8.696528|3.000000,8.696528|3.000000,3,0.104320,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,33,7.608275|3.000000,4.4374330043792725,3.0,8.696528|3.000000,6.366694|5.000000,5,0.129631,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,34,7.608275|3.000000,4.371891021728516,3.0,8.696528|3.000000,6.366694|5.000000,5,0.133184,N/A,5
