MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,34,4.751816|3.000000|1.000000,0.06541156768798828,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,99226288128.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,35,4.751816|3.000000|1.000000,0.07084488868713379,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,114205458432.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,36,4.751816|3.000000|1.000000,0.06656646728515625,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,105345253376.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,37,4.751816|3.000000|1.000000,0.06666088104248047,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,99498713088.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,38,4.751816|3.000000|1.000000,0.06667852401733398,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,102837002240.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,39,4.751816|3.000000|1.000000,0.048703670501708984,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,116039589888.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,40,4.751816|3.000000|1.000000,0.04999208450317383,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,134567362560.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,41,4.751816|3.000000|1.000000,0.06667637825012207,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,116809711616.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,42,4.751816|3.000000|1.000000,0.06647658348083496,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,108024291328.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,43,4.751816|3.000000|1.000000,0.06669187545776367,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,89722609664.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,44,4.751816|3.000000|1.000000,0.04993629455566406,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,118767894528.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,45,4.751816|3.000000|1.000000,0.13329005241394043,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,104454627328.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,46,4.751816|3.000000|1.000000,0.06668829917907715,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,102123053056.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,47,4.751816|3.000000|1.000000,0.06669926643371582,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,1006948416.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,48,4.751816|3.000000|1.000000,0.06637787818908691,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,113849024512.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,49,4.751816|3.000000|1.000000,0.06696724891662598,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,124348334080.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,50,4.751816|3.000000|1.000000,0.05131959915161133,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,87137738752.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,51,4.751816|3.000000|1.000000,0.06668663024902344,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,111118016512.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,52,4.751816|3.000000|1.000000,0.08547401428222656,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,100695326720.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,53,4.751816|3.000000|1.000000,0.04997062683105469,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,105371664384.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,54,4.751816|3.000000|1.000000,0.052123308181762695,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,97814634496.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,55,4.751816|3.000000|1.000000,0.05131101608276367,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,93610188800.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,56,4.751816|3.000000|1.000000,0.06665253639221191,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,96396115968.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,57,4.751816|3.000000|1.000000,0.05206727981567383,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,74866720768.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,58,4.751816|3.000000|1.000000,0.06480765342712402,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,87413055488.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,59,4.751816|3.000000|1.000000,0.05204343795776367,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,114194669568.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,60,4.751816|3.000000|1.000000,0.06622195243835449,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,93778632704.000000,N/A,2,5
