MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,24,8.243773|7.000000|1.000000,0.026871919631958008,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,81294000128.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,25,8.243773|7.000000|1.000000,0.026658296585083008,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,119383556096.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,26,8.243773|7.000000|1.000000,0.026167869567871094,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,57352548352.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,27,8.243773|7.000000|1.000000,0.026487112045288086,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,89847062528.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,28,8.243773|7.000000|1.000000,0.02673625946044922,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,35315916800.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,29,8.243773|7.000000|1.000000,0.02665877342224121,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,61210370048.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,30,8.243773|7.000000|1.000000,0.027211666107177734,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,82948227072.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,31,8.243773|7.000000|1.000000,0.026124000549316406,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,57632641024.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,32,8.243773|7.000000|1.000000,0.026215553283691406,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,87674126336.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,33,8.243773|7.000000|1.000000,0.0267026424407959,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,106031185920.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,34,8.243773|7.000000|1.000000,0.026591777801513672,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,91348402176.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,35,8.243773|7.000000|1.000000,0.02657341957092285,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,84037312512.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,36,8.243773|7.000000|1.000000,0.02756977081298828,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,88225439744.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,37,8.243773|7.000000|1.000000,0.02640080451965332,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,84895850496.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,38,8.243773|7.000000|1.000000,0.025151491165161133,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,72088313856.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,39,8.243773|7.000000|1.000000,0.026654958724975586,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,105722175488.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,40,8.243773|7.000000|1.000000,0.025700807571411133,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,114445533184.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,41,8.243773|7.000000|1.000000,0.026770591735839844,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,85645541376.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,42,8.243773|7.000000|1.000000,0.026100873947143555,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,60686868480.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,43,8.243773|7.000000|1.000000,0.02757573127746582,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,82644238336.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,44,8.243773|7.000000|1.000000,0.02621936798095703,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,53536817152.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,45,8.243773|7.000000|1.000000,0.02662968635559082,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,67421937664.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,46,8.243773|7.000000|1.000000,0.027173995971679688,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,102337814528.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,47,8.243773|7.000000|1.000000,0.02693939208984375,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,110270398464.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,48,8.243773|7.000000|1.000000,0.02659893035888672,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,74616741888.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,49,8.243773|7.000000|1.000000,0.02669048309326172,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,98299371520.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,50,8.243773|7.000000|1.000000,0.026929140090942383,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,94634975232.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,51,8.243773|7.000000|1.000000,0.026702165603637695,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,23645808640.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,52,8.243773|7.000000|1.000000,0.026271820068359375,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,79126855680.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,53,8.243773|7.000000|1.000000,0.027126550674438477,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,108338659328.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,54,8.243773|7.000000|1.000000,0.026217222213745117,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,66910138368.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,55,8.243773|7.000000|1.000000,0.025313138961791992,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,49034956800.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,56,8.243773|7.000000|1.000000,0.027289152145385742,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,45750980608.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,57,8.243773|7.000000|1.000000,0.06543231010437012,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,62339002368.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,58,8.243773|7.000000|1.000000,0.026883602142333984,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,93550157824.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,59,8.243773|7.000000|1.000000,0.02746891975402832,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,50235568128.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,60,8.243773|7.000000|1.000000,0.026856660842895508,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,48792449024.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,61,8.243773|7.000000|1.000000,0.026251554489135742,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,38470119424.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,62,8.243773|7.000000|1.000000,0.02668166160583496,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,89431900160.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,63,8.243773|7.000000|1.000000,0.027148723602294922,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,67165200384.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,64,8.243773|7.000000|1.000000,0.026399850845336914,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,82209275904.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,65,8.243773|7.000000|1.000000,0.02580094337463379,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,26423158784.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,66,8.243773|7.000000|1.000000,0.026165246963500977,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,96502071296.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,67,8.243773|7.000000|1.000000,0.026473522186279297,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,60990939136.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,68,8.243773|7.000000|1.000000,0.026258230209350586,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,50879852544.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,69,8.243773|7.000000|1.000000,0.02608633041381836,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,76511117312.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,70,8.243773|7.000000|1.000000,0.026990890502929688,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,79316811776.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,71,8.243773|7.000000|1.000000,0.027306318283081055,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,95369961472.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,72,8.243773|7.000000|1.000000,0.026261091232299805,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,62411550720.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,73,8.243773|7.000000|1.000000,0.026508569717407227,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,57116000256.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,74,8.243773|7.000000|1.000000,0.02727484703063965,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,84002996224.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,75,8.243773|7.000000|1.000000,0.026236772537231445,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,91172241408.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,76,8.243773|7.000000|1.000000,0.02533698081970215,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,38223425536.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,77,8.243773|7.000000|1.000000,0.026508808135986328,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,104345427968.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,78,8.243773|7.000000|1.000000,0.02639150619506836,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,71441309696.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,79,8.243773|7.000000|1.000000,0.026823759078979492,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,90586120192.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,80,8.243773|7.000000|1.000000,0.02678704261779785,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,70270795776.000000,N/A,2,5
