MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,34,4.495635|3.000000,0.01992630958557129,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,77667278848.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,35,4.495635|3.000000,0.019728899002075195,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,70534504448.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,36,4.495635|3.000000,0.02012777328491211,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,105461874688.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,37,4.495635|3.000000,0.019355297088623047,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,112795000832.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,38,4.495635|3.000000,0.019298315048217773,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,39,4.495635|3.000000,0.018409013748168945,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,82529542144.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,40,4.495635|3.000000,0.019028425216674805,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,87955111936.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,41,4.495635|3.000000,0.018738746643066406,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,105313452032.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,42,4.495635|3.000000,0.019361019134521484,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,93573701632.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,43,4.495635|3.000000,0.01959371566772461,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,74649083904.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,44,4.495635|3.000000,0.01968860626220703,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,92544622592.000000,N/A,1,5
