MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,41,4.337151|3.000000|1.000000,0.026036739349365234,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,116823375872.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,42,4.337151|3.000000|1.000000,0.026976585388183594,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86276554752.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,43,4.337151|3.000000|1.000000,0.026569366455078125,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,71973920768.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,44,4.337151|3.000000|1.000000,0.02697277069091797,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,97732452352.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,45,4.337151|3.000000|1.000000,0.026976823806762695,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,92998828032.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,46,4.337151|3.000000|1.000000,0.027744293212890625,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,69474770944.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,47,4.337151|3.000000|1.000000,0.026270627975463867,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,108274950144.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,48,4.337151|3.000000|1.000000,0.02741384506225586,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,110101987328.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,49,4.337151|3.000000|1.000000,0.026738882064819336,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,82400395264.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,50,4.337151|3.000000|1.000000,0.02666759490966797,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,43208081408.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,51,4.337151|3.000000|1.000000,0.02803778648376465,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,111427231744.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,52,4.337151|3.000000|1.000000,0.026797771453857422,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,109127237632.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,53,4.337151|3.000000|1.000000,0.026918411254882812,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,82415804416.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,54,4.337151|3.000000|1.000000,0.027208566665649414,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,70533693440.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,55,4.337151|3.000000|1.000000,0.02645707130432129,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,182984992.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,56,4.337151|3.000000|1.000000,0.027457475662231445,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,98754920448.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,57,4.337151|3.000000|1.000000,0.026611804962158203,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,93643350016.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,58,4.337151|3.000000|1.000000,0.02723407745361328,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,104026898432.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,59,4.337151|3.000000|1.000000,0.026752233505249023,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,126684241920.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,60,4.337151|3.000000|1.000000,0.027031898498535156,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,102587850752.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,61,4.337151|3.000000|1.000000,0.025820493698120117,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,66004045824.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,62,4.337151|3.000000|1.000000,0.02682948112487793,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,86276800512.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,63,4.337151|3.000000|1.000000,0.027891874313354492,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,73952518144.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,64,4.337151|3.000000|1.000000,0.026552677154541016,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,113514897408.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,65,4.337151|3.000000|1.000000,0.026066303253173828,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,61634904064.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,66,4.337151|3.000000|1.000000,0.02626204490661621,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,78011416576.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,67,4.337151|3.000000|1.000000,0.026943445205688477,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,74086981632.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,68,4.337151|3.000000|1.000000,0.02653789520263672,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,96689913856.000000,N/A,2,5
