MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,75,4.477321|3.000000,0.02004694938659668,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,86346375168.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,76,4.477321|3.000000,0.019464731216430664,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,69508063232.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,77,4.477321|3.000000,0.019849300384521484,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,124200574976.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,78,4.477321|3.000000,0.019075870513916016,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,68091002880.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,79,4.477321|3.000000,0.01975536346435547,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,109812359168.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,80,4.477321|3.000000,0.019014358520507812,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,76435734528.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,81,4.477321|3.000000,0.019725561141967773,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,74041090048.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,82,4.477321|3.000000,0.019019365310668945,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,135126106112.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,83,4.477321|3.000000,0.01956915855407715,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,108123119616.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,84,4.477321|3.000000,0.019434452056884766,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,40716787712.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,85,4.477321|3.000000,0.019951343536376953,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,96419454976.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,86,4.477321|3.000000,0.020783424377441406,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,84783726592.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,87,4.477321|3.000000,0.019107580184936523,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,108046188544.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,88,4.477321|3.000000,0.018757343292236328,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,66379722752.000000,N/A,1,5
