MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,13,9.422980|3.000000,0.014219045639038086,3.0,11.942894|3.000000,11.942894|3.000000,3,98941337600.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,14,9.422980|3.000000,0.01494598388671875,3.0,11.942894|3.000000,11.942894|3.000000,3,67548385280.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,15,9.422980|3.000000,0.013612747192382812,3.0,11.942894|3.000000,11.942894|3.000000,3,50644467712.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,16,9.422980|3.000000,0.014511823654174805,3.0,11.942894|3.000000,11.942894|3.000000,3,83044302848.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,17,9.422980|3.000000,0.015148162841796875,3.0,11.942894|3.000000,11.495302|7.000000,7,71748362240.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,18,9.422980|3.000000,0.014567136764526367,3.0,11.942894|3.000000,11.942894|3.000000,3,78195597312.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,19,9.422980|3.000000,0.014275074005126953,3.0,11.942894|3.000000,11.942894|3.000000,3,54729678848.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,20,9.422980|3.000000,0.014526128768920898,3.0,11.942894|3.000000,10.757874|7.000000,7,34825187328.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,21,9.422980|3.000000,0.01490473747253418,3.0,11.942894|3.000000,11.942894|3.000000,3,85203296256.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,22,9.422980|3.000000,0.014580965042114258,3.0,11.942894|3.000000,10.757874|7.000000,7,87052107776.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,23,9.422980|3.000000,0.014076948165893555,3.0,11.942894|3.000000,11.942894|3.000000,3,29888247808.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,24,9.422980|3.000000,0.014657974243164062,3.0,11.942894|3.000000,10.461118|7.000000,7,65077772288.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,25,9.422980|3.000000,0.01571202278137207,3.0,11.942894|3.000000,11.942894|3.000000,3,122717200384.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,26,9.422980|3.000000,0.015509843826293945,3.0,11.942894|3.000000,11.942894|3.000000,3,103846559744.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,27,9.422980|3.000000,0.018265962600708008,3.0,11.942894|3.000000,11.942894|3.000000,3,58396610560.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,28,9.422980|3.000000,0.016541004180908203,3.0,11.942894|3.000000,11.942894|3.000000,3,66982551552.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,29,9.422980|3.000000,0.014657020568847656,3.0,11.942894|3.000000,11.942894|3.000000,3,66946633728.000000,N/A,5
