MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,36,10.493176|3.000000,5.020937919616699,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,37,10.493176|3.000000,4.712080001831055,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,38,10.493176|3.000000,4.855302095413208,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,39,10.493176|3.000000,5.026282072067261,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,40,10.493176|3.000000,4.786275148391724,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,41,10.493176|3.000000,4.962659120559692,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,42,10.493176|3.000000,4.793864965438843,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,43,10.493176|3.000000,4.9114649295806885,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,44,10.493176|3.000000,4.800204038619995,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,45,10.493176|3.000000,5.027751922607422,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,46,10.493176|3.000000,4.992398023605347,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
