MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,28,4.484513|3.000000|1.000000,0.0666959285736084,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,75496816640.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,29,4.484513|3.000000|1.000000,0.0696249008178711,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,137633644544.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,30,4.484513|3.000000|1.000000,0.06679058074951172,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,120964128768.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,31,4.484513|3.000000|1.000000,0.06798219680786133,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,111101984768.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,32,4.484513|3.000000|1.000000,0.06697368621826172,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,78330388480.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,33,4.484513|3.000000|1.000000,0.06675028800964355,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,82781011968.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,34,4.484513|3.000000|1.000000,0.051433563232421875,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,128942235648.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,35,4.484513|3.000000|1.000000,0.06502890586853027,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,101411758080.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,36,4.484513|3.000000|1.000000,0.06671905517578125,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,118399729664.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,37,4.484513|3.000000|1.000000,0.0661928653717041,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,62930534400.000000,N/A,2,5
