MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,37,8.470862|7.000000|1.000000,0.02660536766052246,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,85203107840.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,38,8.470862|7.000000|1.000000,0.025295019149780273,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,72125505536.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,39,8.470862|7.000000|1.000000,0.026751279830932617,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,105345744896.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,40,8.470862|7.000000|1.000000,0.02583003044128418,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,114128216064.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,41,8.470862|7.000000|1.000000,0.02695608139038086,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,85505572864.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,42,8.030987|7.000000|1.000000,0.026147842407226562,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,60540620800.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,43,8.030987|7.000000|1.000000,0.027693510055541992,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,82313568256.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,44,8.030987|7.000000|1.000000,0.026256322860717773,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,53365522432.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,45,8.030987|7.000000|1.000000,0.026581764221191406,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,67161493504.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,46,8.030987|7.000000|1.000000,0.027440309524536133,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,96122691584.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,47,8.030987|7.000000|1.000000,0.026807546615600586,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,87306141696.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,48,8.030987|7.000000|1.000000,0.02656698226928711,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,90813775872.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,49,8.030987|7.000000|1.000000,0.026922941207885742,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,36048154624.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,50,8.030987|7.000000|1.000000,0.026882410049438477,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,72676925440.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,51,8.030987|7.000000|1.000000,0.026582002639770508,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,84216561664.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,52,8.030987|7.000000|1.000000,0.02652716636657715,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,70575906816.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,53,8.030987|7.000000|1.000000,0.0269315242767334,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,101519777792.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,54,8.030987|7.000000|1.000000,0.026291370391845703,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,32307200000.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,55,8.030987|7.000000|1.000000,0.02562999725341797,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,70335463424.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,56,8.030987|7.000000|1.000000,0.0274050235748291,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,26925088768.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,57,8.030987|7.000000|1.000000,0.0263674259185791,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,70071459840.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,58,8.030987|7.000000|1.000000,0.027026653289794922,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,95031238656.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,59,8.030987|7.000000|1.000000,0.027421236038208008,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,64260497408.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,60,8.030987|7.000000|1.000000,0.025908470153808594,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,90451353600.000000,N/A,2,5
