MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,70,4.448025|3.000000,0.019038915634155273,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,108929015808.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,71,4.448025|3.000000,0.019275188446044922,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,121550372864.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,72,4.448025|3.000000,0.01957559585571289,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,132423589888.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,73,4.448025|3.000000,0.019572019577026367,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,108197437440.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,74,4.448025|3.000000,0.019928693771362305,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,109642768384.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,75,4.448025|3.000000,0.02000570297241211,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,93259022336.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,76,4.448025|3.000000,0.01935124397277832,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,107701911552.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,77,4.448025|3.000000,0.019842863082885742,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,103535042560.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,78,4.448025|3.000000,0.01941537857055664,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,75571412992.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,79,4.448025|3.000000,0.019692182540893555,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,111797092352.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,80,4.448025|3.000000,0.01878976821899414,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,121564905472.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,81,4.448025|3.000000,0.020117521286010742,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,101555748864.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,82,4.448025|3.000000,0.01866316795349121,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,70537027584.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,83,4.448025|3.000000,0.01953744888305664,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,119018569728.000000,N/A,1,5
