MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,53,4.559990|3.000000,0.02006220817565918,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,118846398464.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,54,4.559990|3.000000,0.019069433212280273,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,79932809216.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,55,4.559990|3.000000,0.020028114318847656,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,111102427136.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,56,4.559990|3.000000,0.01905345916748047,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,95063203840.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,57,4.559990|3.000000,0.019987106323242188,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,102722658304.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,58,4.559990|3.000000,0.01940321922302246,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,68740448256.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,59,4.559990|3.000000,0.01935577392578125,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,147159728128.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,60,4.559990|3.000000,0.01921868324279785,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,49997877248.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,61,4.559990|3.000000,0.019094467163085938,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,55472877568.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,62,4.559990|3.000000,0.019064903259277344,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,63,4.559990|3.000000,0.019521713256835938,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,75695382528.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,64,4.559990|3.000000,0.019852161407470703,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,98730598400.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,65,4.559990|3.000000,0.019278287887573242,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,48378630144.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,66,4.559990|3.000000,0.01893782615661621,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,57309110272.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,67,4.559990|3.000000,0.020300626754760742,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,57312608256.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,68,4.559990|3.000000,0.019522428512573242,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,93284851712.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,69,4.559990|3.000000,0.019115447998046875,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,94537031680.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,70,4.559990|3.000000,0.019057512283325195,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,87096238080.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,71,4.559990|3.000000,0.01935601234436035,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,98752454656.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,72,4.559990|3.000000,0.019632816314697266,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,98751971328.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,73,4.559990|3.000000,0.019451379776000977,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,78612299776.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,74,4.559990|3.000000,0.020105361938476562,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,85911461888.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,75,4.559990|3.000000,0.020004987716674805,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,66198327296.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,76,4.559990|3.000000,0.019472599029541016,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,87838007296.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,77,4.559990|3.000000,0.019934654235839844,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,103513604096.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,78,4.559990|3.000000,0.019207239151000977,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,120415174656.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,79,4.559990|3.000000,0.020041465759277344,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,87876108288.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,80,4.559990|3.000000,0.018678665161132812,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,90656956416.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,81,4.559990|3.000000,0.020148277282714844,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,127688761344.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,82,4.559990|3.000000,0.018863916397094727,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,90480795648.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,83,4.559990|3.000000,0.019585371017456055,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,93334953984.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,84,4.559990|3.000000,0.01972508430480957,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,94129127424.000000,N/A,1,5
