MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,65,4.497596|3.000000,0.019344329833984375,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,111100690432.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,66,4.497596|3.000000,0.019900798797607422,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,109043105792.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,67,4.497596|3.000000,0.020688295364379883,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,108273786880.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,68,4.497596|3.000000,0.01891040802001953,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,93773586432.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,69,4.497596|3.000000,0.018520593643188477,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,21568890880.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,70,4.497596|3.000000,0.01925206184387207,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,68097454080.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,71,4.497596|3.000000,0.019306659698486328,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,132264468480.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,72,4.497596|3.000000,0.01978468894958496,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,119951056896.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,73,4.497596|3.000000,0.019925594329833984,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,125236805632.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,74,4.497596|3.000000,0.019812822341918945,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,107013955584.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,75,4.497596|3.000000,0.02009725570678711,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,54661345280.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,76,4.497596|3.000000,0.01961231231689453,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,111102427136.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,77,4.497596|3.000000,0.020017623901367188,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,82586435584.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,78,4.497596|3.000000,0.019176483154296875,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,79,4.497596|3.000000,0.01941823959350586,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,61215760384.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,80,4.497596|3.000000,0.019104719161987305,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,109318995968.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,81,4.497596|3.000000,0.02015519142150879,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,113094942720.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,82,4.497596|3.000000,0.018951892852783203,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,103264.726562,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,83,4.497596|3.000000,0.0197904109954834,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,20202950656.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,84,4.497596|3.000000,0.01920938491821289,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,73980100608.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,85,4.497596|3.000000,0.02066659927368164,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,158409801728.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,86,4.497596|3.000000,0.01982402801513672,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,105351274496.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,87,4.497596|3.000000,0.019189119338989258,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,62383566848.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,88,4.497596|3.000000,0.019057035446166992,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,79746105344.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,89,4.497596|3.000000,0.019070863723754883,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,47670407168.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,90,4.497596|3.000000,0.019138574600219727,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,88573558784.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,91,4.497596|3.000000,0.019600868225097656,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,41129304064.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,92,4.497596|3.000000,0.05748605728149414,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,110375878656.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,93,4.497596|3.000000,0.01854872703552246,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86288310272.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,94,4.497596|3.000000,0.01870417594909668,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,70536830976.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,95,4.497596|3.000000,0.020305871963500977,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,113628110848.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,96,4.497596|3.000000,0.018940210342407227,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,49947754496.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,97,4.497596|3.000000,0.018723726272583008,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86227107840.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,98,4.497596|3.000000,0.019322633743286133,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,12847790080.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,99,4.497596|3.000000,0.01916193962097168,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,111114936320.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,100,4.497596|3.000000,0.020384550094604492,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,87775944704.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,101,4.497596|3.000000,0.019020557403564453,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,86276857856.000000,N/A,1,5
MOGP_GENERATIONAL,e20c6d28-152d-11f1-9378-303ea725c124,Cooling,74,102,4.497596|3.000000,0.01919865608215332,3.0,4.659729|3.000000,4.497596|3.000000,4.659729|3.000000,3,104414830592.000000,N/A,1,5
