MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,29,3.880493|7.000000|3.000000,0.02767658233642578,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,113306296320.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,30,3.880493|7.000000|3.000000,0.027448654174804688,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,68773519360.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,31,3.880493|7.000000|3.000000,0.027741670608520508,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,82667716608.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,32,3.880493|7.000000|3.000000,0.0263369083404541,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,115009232896.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,33,3.880493|7.000000|3.000000,0.026226043701171875,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,51486568448.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,34,3.880493|7.000000|3.000000,0.026709556579589844,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,109888634880.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,35,3.880493|7.000000|3.000000,0.02801036834716797,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,111985950720.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,36,3.880493|7.000000|3.000000,0.026882171630859375,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,73278562304.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,37,3.880493|7.000000|3.000000,0.026685476303100586,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,100045479936.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,38,3.880493|7.000000|3.000000,0.02637314796447754,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,99498631168.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,39,3.880493|7.000000|3.000000,0.026172637939453125,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,93988012032.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,40,3.880493|7.000000|3.000000,0.027050495147705078,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,141522010112.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,41,3.880493|7.000000|3.000000,0.026501893997192383,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,139993628672.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,42,3.880493|7.000000|3.000000,0.027047157287597656,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,94584184832.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,43,3.880493|7.000000|3.000000,0.026439905166625977,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,101253128192.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,44,3.880493|7.000000|3.000000,0.025697708129882812,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,58693337088.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,45,3.880493|7.000000|3.000000,0.026453495025634766,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,131030720512.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,46,3.880493|7.000000|3.000000,0.027547121047973633,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,120444977152.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,47,3.880493|7.000000|3.000000,0.02669501304626465,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,97604853760.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,48,3.880493|7.000000|3.000000,0.02747488021850586,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,98708250624.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,49,3.880493|7.000000|3.000000,0.027031421661376953,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,119900880896.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,50,3.880493|7.000000|3.000000,0.026635408401489258,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,83678855168.000000,N/A,2,5
