MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,30,4.559990|3.000000|1.000000,0.027453184127807617,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,106503323648.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,31,4.559990|3.000000|1.000000,0.027889251708984375,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,96283705344.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,32,4.559990|3.000000|1.000000,0.02621173858642578,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,100481392640.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,33,4.559990|3.000000|1.000000,0.0262451171875,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,85422899200.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,34,4.559990|3.000000|1.000000,0.026714801788330078,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99479232512.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,35,4.559990|3.000000|1.000000,0.028068065643310547,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,114351931392.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,36,4.559990|3.000000|1.000000,0.027231454849243164,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,96442474496.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,37,4.559990|3.000000|1.000000,0.026749372482299805,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,108566216704.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,38,4.559990|3.000000|1.000000,0.026442527770996094,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,103383990272.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,39,4.559990|3.000000|1.000000,0.026381492614746094,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,116393648128.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,40,4.559990|3.000000|1.000000,0.026874065399169922,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,127971999744.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,41,4.559990|3.000000|1.000000,0.0264742374420166,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,111497314304.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,42,4.559990|3.000000|1.000000,0.02694392204284668,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,93121544192.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,43,4.559990|3.000000|1.000000,0.026789188385009766,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,126431100928.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,44,4.559990|3.000000|1.000000,0.025985240936279297,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,66378207232.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,45,4.559990|3.000000|1.000000,0.026271820068359375,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99312164864.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,46,4.559990|3.000000|1.000000,0.027425050735473633,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,120018657280.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,47,4.559990|3.000000|1.000000,0.026740550994873047,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,110913970176.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,48,4.559990|3.000000|1.000000,0.02733612060546875,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,134582673408.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,49,4.559990|3.000000|1.000000,0.026839733123779297,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,90707337216.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,50,4.559990|3.000000|1.000000,0.026839017868041992,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,50094755840.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,51,4.559990|3.000000|1.000000,0.027109861373901367,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,121484271616.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,52,4.559990|3.000000|1.000000,0.027731895446777344,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,116490510336.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,53,4.559990|3.000000|1.000000,0.026673316955566406,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,74034667520.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,54,4.559990|3.000000|1.000000,0.027393341064453125,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,89092440064.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,55,4.559990|3.000000|1.000000,0.026279449462890625,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,61267025920.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,56,4.559990|3.000000|1.000000,0.027663707733154297,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,129071128576.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,57,4.559990|3.000000|1.000000,0.026461124420166016,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,106782990336.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,58,4.559990|3.000000|1.000000,0.027534008026123047,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,83608330240.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,59,4.559990|3.000000|1.000000,0.02703690528869629,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,78861991936.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,60,4.559990|3.000000|1.000000,0.026991844177246094,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,93090799616.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,61,4.559990|3.000000|1.000000,0.026175260543823242,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,82733989888.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,62,4.559990|3.000000|1.000000,0.026673316955566406,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,40024584192.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,63,4.559990|3.000000|1.000000,0.027117252349853516,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99497598976.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,64,4.559990|3.000000|1.000000,0.026421785354614258,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,2917107200.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,65,4.559990|3.000000|1.000000,0.026184797286987305,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99498336256.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,66,4.559990|3.000000|1.000000,0.026009321212768555,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,108269797376.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,67,4.559990|3.000000|1.000000,0.026618242263793945,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,114043830272.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,68,4.559990|3.000000|1.000000,0.02681899070739746,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,181762800.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,69,4.559990|3.000000|1.000000,0.02719879150390625,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99316031488.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,70,4.559990|3.000000|1.000000,0.02779531478881836,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,130403311616.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,71,4.559990|3.000000|1.000000,0.02614140510559082,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,108381380608.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,72,4.559990|3.000000|1.000000,0.025984525680541992,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,82675826688.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,73,4.559990|3.000000|1.000000,0.027829647064208984,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,94077485056.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,74,4.559990|3.000000|1.000000,0.02764415740966797,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,116358995968.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,75,4.559990|3.000000|1.000000,0.025699377059936523,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,86316998656.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,76,4.559990|3.000000|1.000000,0.026662826538085938,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,85665644544.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,77,4.559990|3.000000|1.000000,0.02735114097595215,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,74734149632.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,78,4.559990|3.000000|1.000000,0.027724266052246094,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,87104331776.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,79,4.559990|3.000000|1.000000,0.026962757110595703,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,131155968000.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,80,4.559990|3.000000|1.000000,0.028142690658569336,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,125476970496.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,81,4.559990|3.000000|1.000000,0.026361942291259766,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,77276413952.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,82,4.559990|3.000000|1.000000,0.02683544158935547,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,82967601152.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,83,4.559990|3.000000|1.000000,0.02765369415283203,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,111100403712.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,84,4.559990|3.000000|1.000000,0.027107715606689453,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,86851059712.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,85,4.559990|3.000000|1.000000,0.02651667594909668,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,94949933056.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,86,4.559990|3.000000|1.000000,0.026419878005981445,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,71700340736.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,87,4.559990|3.000000|1.000000,0.028099536895751953,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,75839889408.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,88,4.559990|3.000000|1.000000,0.0264737606048584,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,49481711616.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,89,4.559990|3.000000|1.000000,0.02721691131591797,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99519356928.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,90,4.559990|3.000000|1.000000,0.026181697845458984,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,99498704896.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,91,4.559990|3.000000|1.000000,0.027016162872314453,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,78972731392.000000,N/A,2,5
MOGP_GENERATIONAL,b7ba7342-1435-11f1-9378-303ea725c124,Cooling,74,92,4.559990|3.000000|1.000000,0.02680373191833496,3.0,4.516559|3.000000|1.000000,4.559990|3.000000|1.000000,4.516559|3.000000|1.000000,3,60574154752.000000,N/A,2,5
