MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,22,4.577525|3.000000,0.018918752670288086,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,128777240576.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,23,4.577525|3.000000,0.01877307891845703,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49142185984.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,24,4.577525|3.000000,0.019419193267822266,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,70533677056.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,25,4.577525|3.000000,0.01958179473876953,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,129853153280.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,26,4.577525|3.000000,0.01983809471130371,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,71592853504.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,27,4.577525|3.000000,0.018466472625732422,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,86977986560.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,28,4.577525|3.000000,0.019649982452392578,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,97029840896.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,29,4.577525|3.000000,0.019162416458129883,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,89808650240.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,30,4.577525|3.000000,0.0196382999420166,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,96751009792.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,31,4.577525|3.000000,0.020457029342651367,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,72275623936.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,32,4.577525|3.000000,0.019062280654907227,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,81632837632.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,33,4.577525|3.000000,0.019253015518188477,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,130088583168.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,34,4.577525|3.000000,0.0198976993560791,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,69541634048.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,35,4.577525|3.000000,0.01939678192138672,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,104117379072.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,36,4.577525|3.000000,0.02005624771118164,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,113295900672.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,37,4.577525|3.000000,0.019498825073242188,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,88076042240.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,38,4.577525|3.000000,0.018993616104125977,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,67703250944.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,39,4.577525|3.000000,0.019547224044799805,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,132540956672.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,40,4.577525|3.000000,0.018978118896484375,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,128994377728.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,41,4.577525|3.000000,0.018623828887939453,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,98801565696.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,42,4.577525|3.000000,0.019490480422973633,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,86277152768.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,43,4.577525|3.000000,0.01955270767211914,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,128234684416.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,44,4.577525|3.000000,0.019415616989135742,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,106032242688.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,45,4.577525|3.000000,0.019061803817749023,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,43264024576.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,46,4.577525|3.000000,0.018677473068237305,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,73617760256.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,47,4.577525|3.000000,0.019596099853515625,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,65987792896.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,48,4.577525|3.000000,0.019826412200927734,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,101322768384.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,49,4.577525|3.000000,0.01946425437927246,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,62515052544.000000,N/A,1,5
