MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,46,9.711526|3.000000,4.0729711055755615,3.0,10.822612|3.000000,12.159174|5.000000,5,0.059110,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,47,9.711526|3.000000,3.9691710472106934,3.0,10.822612|3.000000,12.159174|5.000000,5,0.059272,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,48,9.711526|3.000000,4.221110820770264,3.0,10.822612|3.000000,12.159174|5.000000,5,0.051032,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,49,9.711526|3.000000,4.878913879394531,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,50,9.711526|3.000000,5.725393772125244,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,51,9.711526|3.000000,5.533245801925659,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,52,9.711526|3.000000,5.512933254241943,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,53,9.711526|3.000000,5.465749979019165,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,54,9.711526|3.000000,5.506584167480469,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,55,9.711526|3.000000,5.3913798332214355,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,56,9.711526|3.000000,5.699878692626953,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,57,9.711526|3.000000,5.470735788345337,3.0,10.822612|3.000000,12.159174|5.000000,5,0.027944,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,58,9.711526|3.000000,5.454545974731445,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,59,9.711526|3.000000,5.495062828063965,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,60,9.711526|3.000000,5.60221791267395,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,61,9.711526|3.000000,5.733828067779541,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,62,9.711526|3.000000,5.567610740661621,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,63,9.711526|3.000000,5.6143128871917725,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,64,9.711526|3.000000,5.462735176086426,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,65,9.711526|3.000000,5.425378084182739,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,66,9.711526|3.000000,5.5329978466033936,3.0,10.822612|3.000000,8.663186|5.000000,5,0.077411,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,67,9.711526|3.000000,5.544947385787964,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,68,9.711526|3.000000,5.476177215576172,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,69,9.711526|3.000000,5.401195049285889,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,70,9.711526|3.000000,5.617396831512451,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,71,9.711526|3.000000,5.6026451587677,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,72,9.711526|3.000000,5.554897308349609,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,73,9.711526|3.000000,5.454025030136108,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,74,9.711526|3.000000,5.546350002288818,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
MOGP_NSGAII,e828d3da-e969-11f0-8d5d-6e001b3eef54,Boston,74,75,9.711526|3.000000,5.713083982467651,3.0,10.822612|3.000000,6.887758|5.000000,5,0.126054,N/A,5
