MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,75,4.751816|3.000000,5.476052284240723,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,76,4.751816|3.000000,5.483051061630249,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,77,4.751816|3.000000,5.439241170883179,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,78,4.751816|3.000000,5.300520896911621,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,79,4.751816|3.000000,5.336116313934326,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,80,4.751816|3.000000,5.6009650230407715,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,81,4.751816|3.000000,5.380776405334473,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,82,4.751816|3.000000,5.505680084228516,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,83,4.751816|3.000000,5.50085186958313,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,84,4.751816|3.000000,5.3518431186676025,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,85,4.751816|3.000000,5.545281171798706,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,86,4.751816|3.000000,5.414785146713257,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,87,4.751816|3.000000,5.357276201248169,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
MOGP_NSGAII,1b0850a6-e838-11f0-a37d-6e001b3eef54,Cooling,74,88,4.751816|3.000000,5.544848203659058,3.0,4.030739|3.000000,3.985212|5.000000,5,0.005936,N/A,5
