MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,31,4.492990|3.000000,0.0517120361328125,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,32,4.492990|3.000000,0.03946208953857422,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,81047363584.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,33,4.492990|3.000000,0.05246686935424805,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,74560118784.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,34,4.492990|3.000000,0.04981660842895508,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,82586525696.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,35,4.492990|3.000000,0.09015369415283203,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,105963257856.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,36,4.492990|3.000000,0.05146670341491699,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,82073346048.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,37,4.492990|3.000000,0.04992103576660156,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,99498737664.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,38,4.492990|3.000000,0.04995560646057129,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,98801557504.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,39,4.492990|3.000000,0.03325796127319336,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,66145112064.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,40,4.492990|3.000000,0.04545474052429199,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,86277111808.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,41,4.492990|3.000000,0.11346793174743652,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,119619141632.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,42,4.492990|3.000000,0.04445958137512207,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,69582856192.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,43,4.492990|3.000000,0.043610334396362305,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,78433132544.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,44,4.492990|3.000000,0.03531193733215332,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,107034443776.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,45,4.492990|3.000000,0.05124831199645996,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,96321994752.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,46,4.492990|3.000000,0.05036592483520508,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,87076536320.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,47,4.492990|3.000000,0.04595351219177246,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,49937514496.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,48,4.492990|3.000000,0.038069963455200195,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,130597896192.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,49,4.492990|3.000000,0.04794430732727051,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70164307968.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,50,4.492990|3.000000,0.08876991271972656,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,108314238976.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,51,4.492990|3.000000,0.059035539627075195,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,63174852608.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,52,4.492990|3.000000,0.05999946594238281,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70537388032.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,53,4.492990|3.000000,0.04984331130981445,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,121329319936.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,54,4.492990|3.000000,0.03956007957458496,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,108990365696.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,55,4.492990|3.000000,0.046869754791259766,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,93709557760.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,56,4.492990|3.000000,0.04496455192565918,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,57,4.492990|3.000000,0.04731321334838867,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,111208431616.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,58,4.492990|3.000000,0.047920942306518555,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,105962151936.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,59,4.492990|3.000000,0.04494833946228027,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,70534201344.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,60,4.492990|3.000000,0.04995012283325195,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,188334288.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,61,4.492990|3.000000,0.050739288330078125,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,62051450880.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,62,4.492990|3.000000,0.04992270469665527,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,49937461248.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,63,4.492990|3.000000,0.048696041107177734,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,75679375360.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,64,4.492990|3.000000,0.050379037857055664,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,69545451520.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,65,4.492990|3.000000,0.034523963928222656,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,69648007168.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,66,4.492990|3.000000,0.04877638816833496,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,85542936576.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,67,4.492990|3.000000,0.054740190505981445,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,97104519168.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,68,4.492990|3.000000,0.0602569580078125,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,93337534464.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,69,4.492990|3.000000,0.045278072357177734,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,128808509440.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,70,4.492990|3.000000,0.046182870864868164,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,90151002112.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,71,4.492990|3.000000,0.044809818267822266,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,114069241856.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,72,4.492990|3.000000,0.034310102462768555,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,48525557760.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,73,4.492990|3.000000,0.07845473289489746,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,63297396736.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,74,4.492990|3.000000,0.05236005783081055,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,97536344064.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,75,4.492990|3.000000,0.03994894027709961,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,62536216576.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,76,4.492990|3.000000,0.043837547302246094,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,103355596800.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,77,4.492990|3.000000,0.062041521072387695,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,126667759616.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,78,4.492990|3.000000,0.05008053779602051,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,95722905600.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,79,4.492990|3.000000,0.050054073333740234,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,87029456896.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,80,4.492990|3.000000,0.034032583236694336,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,57613320192.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,81,4.492990|3.000000,0.04694080352783203,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,71777353728.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,82,4.492990|3.000000,0.04910850524902344,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,112542277632.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,83,4.492990|3.000000,0.05060076713562012,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,90859200512.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,84,4.492990|3.000000,0.03240346908569336,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,89924526080.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,85,4.492990|3.000000,0.04984426498413086,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,126642962432.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,86,4.492990|3.000000,0.0501101016998291,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,110479187968.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,87,4.492990|3.000000,0.03942227363586426,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,94878982144.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,88,4.492990|3.000000,0.04509091377258301,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,895ef8c0-1324-11f1-aba5-b751108eed3b,Cooling,74,89,4.492990|3.000000,0.04913330078125,3.0,4.670046|3.000000,4.492990|3.000000,4.670046|3.000000,3,131124920320.000000,N/A,1,5
