MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,56,4.365190|3.000000,0.039528846740722656,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,95040225280.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,57,4.365190|3.000000,0.05994534492492676,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,100480286720.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,58,4.365190|3.000000,0.05032777786254883,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,90632331264.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,59,4.365190|3.000000,0.048705101013183594,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70573932544.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,60,4.365190|3.000000,0.04144024848937988,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,88724234240.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,61,4.365190|3.000000,0.0458073616027832,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,79684034560.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,62,4.365190|3.000000,0.0489501953125,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,92945793024.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,63,4.365190|3.000000,0.047319650650024414,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,100326031360.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,64,4.365190|3.000000,0.04052138328552246,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,82669608960.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,65,4.365190|3.000000,0.049944400787353516,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,99497934848.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,66,4.365190|3.000000,0.04973626136779785,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,82472263680.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,67,4.365190|3.000000,0.052790164947509766,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,111777112064.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,68,4.365190|3.000000,0.04373002052307129,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,105128148992.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,69,4.365190|3.000000,0.05267524719238281,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,87646420992.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,70,4.365190|3.000000,0.049535274505615234,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,71,4.365190|3.000000,0.13015389442443848,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,125882597376.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,72,4.365190|3.000000,0.047246694564819336,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,103373029376.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,73,4.365190|3.000000,0.048063039779663086,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,74316234752.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,74,4.365190|3.000000,0.03599405288696289,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,100042399744.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,75,4.365190|3.000000,0.04763507843017578,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,111736864768.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,76,4.365190|3.000000,0.03736448287963867,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,117217255424.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,77,4.365190|3.000000,0.0517275333404541,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,102589145088.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,78,4.365190|3.000000,0.06336498260498047,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,46754406400.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,79,4.365190|3.000000,0.04857993125915527,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,110493147136.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,80,4.365190|3.000000,0.04449772834777832,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,79965593600.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,81,4.365190|3.000000,0.035150766372680664,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,96900087808.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,82,4.365190|3.000000,0.03520321846008301,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,125749420032.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,83,4.365190|3.000000,0.03328871726989746,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,92991356928.000000,N/A,1,5
MOGP_GENERATIONAL,99bb8db2-132f-11f1-a94f-b751108eed3b,Cooling,74,84,4.365190|3.000000,0.06276750564575195,3.0,4.943788|3.000000,4.365190|3.000000,4.943788|3.000000,3,85470126080.000000,N/A,1,5
